en	definition	pl	ja	ko	vi	zh	ta	hu	fr	no	uk	ru	de	es	sv	fi	cs	sr	pt	it	fa	sw	nl	st	hi	da
apple 	 A round fruit with red, green, or yellow skin and a sweet interior.	jabłko	りんご	사과	táo	苹果	ஆப்பிள்	alma	pomme	eple	яблуко	яблоко	Apfel	manzana	äpple	omena	jablko	jabuka	maçã	mela	سیب	tufaha	appel	apole	सेब	æble
animal 	 A living creature that is not a plant, including mammals, birds, and fish.	zwierzę	動物	동물	động vật	动物	விலங்கு	állat	animal	dyr	тварина	животное	Tier	animal	djur	eläin	zvíře	životinja	animal	animale	حیوان	mnyama	dier	phoofolo	जानवर	dyr
balloon 	 A flexible bag filled with air or gas, often used for decoration.	balon	風船	풍선	bóng bay	气球	பலூன்	lufi	ballon	ballong	повітряна кулька	воздушный шарик	Ballon	globo	ballong	ilmapallo	balón	balon	balão	palloncino	بادکنک	puto	ballon	balune	गुब्बारा	ballon
book 	 A set of written or printed pages bound together, containing information or a story.	książka	本	책	sách	书	நூல்	könyv	livre	bok	книга	книга	Buch	libro	bok	kirja	kniha	knjiga	livro	libro	کتاب	kitabu	boek	Buka	किताब	bog
bridge 	 A structure built to span a physical obstacle like a river or road.	most	橋	다리	cầu	桥	பாலம்	híd	pont	bro	міст	мост	Brücke	puente	bro	silta	most	most	ponte	ponte	پل	daraja	brug	borokho	पुल	bro
bed 	 A piece of furniture used for sleeping or resting, typically with a frame and mattress.	łóżko	ベッド	침대	giường	床	படுக்கை	ágy	lit	seng	ліжко	кровать	Bett	cama	säng	sänky	postel	krevet	cama	letto	تخت	kitanda	bed	bethe	बिस्तर	seng
car 	 A four-wheeled vehicle used for transportation on roads.	samochód	車	자동차	ô tô	汽车	மகிழுந்து	autó	voiture	bil	автомобіль	автомобиль	Auto	coche	bil	auto	auto	automobil	carro	automobile	ماشین	gari	auto	koloi	गाड़ी	bil
coat 	 An outer garment worn to provide warmth or protection against the weather.	płaszcz	コート	코트	áo khoác	外套	மேலங்கி	kabát	manteau	frakk	пальто	пальто	Mantel	abrigo	kappa	takki	kabát	kaput	sobretudo	cappotto	کت	koti	jas	Jase	कोट	frakke
chair 	 A piece of furniture designed for sitting, typically with a backrest.	krzesło	椅子	의자	ghế	椅子	நாற்காலி	szék	chaise	stol	стілець	стул	Stuhl	silla	stol	tuoli	židle	stolica	cadeira	sedia	صندلی	kiti	stoel	setulo	कुर्सी	stol
chocolate 	 A sweet food made from roasted and ground cacao seeds.	czekolada	チョコレート	초콜릿	sô cô la	巧克力	சாக்லேட்	csokoládé	chocolat	sjokolade	шоколад	шоколад	Schokolade	chocolate	choklad	suklaa	čokoláda	čokolada	chocolate	cioccolato	شکلات	chokoleti	chocolade	tšhokolete	चॉकलेट	chokolade
city 	 A large and densely populated urban area with buildings and infrastructure.	miasto	都市	도시	thành phố	城市	நகரம்	város	ville	by	місто	город	Stadt	ciudad	stad	kaupunki	město	grad	cidade	città	شهر	jiji	stad	toropo	शहर	by
clock 	 A device that shows the time of day.	zegar	時計	시계	đồng hồ	钟	கடிகாரம்	óra	horloge	klokke	годинник	часы	Uhr	reloj	klocka	kello	hodiny	sat	relógio	orologio	ساعت	saa	klok	seolo	घड़ी	ur
