words,pos
erdemelt,verb
tanul,verb
okozta,verb
osszefugges,noun
sort,other
password-nek,other
egyutt,other
programozasi,other
hirdetjuk,verb
egyharmada,other
jogallasara,other
hajdu-bihari,other
kelly,other
hej,other
oratol,noun
alairas,noun
ergo,other
texasban,other
parthirek,noun
durvan,other
belehajtjak,verb
hullam,noun
felreertes,noun
eloiranyzatnal,noun
poetyoegve,other
modosi,adjective
ugyekben,noun
adozzak,verb
sztori,noun
fordulojaban,other
osztalyaval,noun
telepulesen,noun
ban,other
mernoek,noun
digitalis,noun
ereztek,verb
jovedelemado-torvenyt,noun
vegu~l,adverb
visszaall,other
ivovizvezeteket,noun
cimhamisitas,noun
altalam,other
kossek,other
mondhatni,verb
utra,other
egyforma,adjective
postas,noun
tartalmat,noun
hiszed,verb
e-mail,noun
kesesekkel,other
alacsonyabb,adjective
koszonet,noun
fejleszteset,noun
bajuk,verb
egyhangulag,adverb
nyugdij-hozzaja,noun
cimekrol,noun
nagyvasarcsarnok,noun
geomikulason,other
teny,other
kabinet,noun
eppen,other
dolgozo,noun
szamait,other
pontnal,other
nato-csucs,noun
repulos,adjective
tornagyozelmet,noun
hirdetese,noun
hirdetett,verb
kozep,other
emelkedne,verb
fweakafn,other
uttervet,other
phoenix-en,other
minap,adverb
aram,other
kiallitott,verb
valasztmanyi,other
masolatat,noun
ezustkeszlet,noun
buda,other
elindult,verb
nemetorszag,noun
hiszteria,noun
generalhato,adjective
helyes,adjective
koncepcio,noun
hatmilliard,noun
koszonom,verb
kisebbsegeket,noun
kommandosok,noun
atkeles,other
purchased,other
stevens,other
egyelore,other
multkor,noun
hatarhoz,noun
feher-repara,other
felmerjek,verb
botranykeresest,other
tonna,noun
partok,noun
kozpont-bbs-hez,other
vonaton,noun
pedig,other
csapatunk,noun
hivjon,verb
gyorstuzelo,noun
n-1)-edfoku,other
miniszterre,other
esemenyre.miutan,other
lencsere,noun
jelentes,verb
hatar,noun
dereng,verb
erezheto,adjective
tetvteraszat,noun
hajnalban,adverb
ku:lo:nfele,other
nalunk,other
osszeroffenesre,other
cifyqu,other
mpeg,other
dix,other
uzletben,noun
hasogatni,verb
bulgarian,other
vera,other
behatarolni,verb
ritk,other
eredmenyeket,noun
szivni,verb
vagni,verb
ader,other
velu,other
tragyaszag,noun
epitoiparban,noun
igazsagszolgaltatast,noun
modosito,"noun,adjective"
joska,other
valoszinu,adjective
magikus,adjective
szazas,other
idei,adjective
forditott,verb
konnyebb,adjective
fuggonyon,other
celt,noun
ni,other
talalt,verb
celjabol,other
jogtalan,adjective
sportszerubb,other
nyilvaanos,other
orokre,other
hiszteriaval,noun
megbizottja,noun
tenyek,noun
artanak,verb
torvenyereju,other
hiteles,adjective
termekek,noun
gabortol,other
adatot,noun
kohl,other
spline,other
vizilabda,noun
database,other
csoportban,noun
szakszerutlen,adjective
florida,other
egyeni,adjective
kalban,other
"terrazza""/",other
bolond,"adjective,noun"
helyekert,noun
stabilnak,other
dan,other
papirt,noun
tokeszegenyseg,noun
elelmes,other
ibm-aix,other
tekintik,verb
helmuth,other
tul.keppen,other
bps,other
formatuma,other
foglalkozik,verb
lehetoseghez.az,other
donteni,other
befektetok,noun
gyakorlatot,noun
ruljon,other
goljaval,other
elkulonitett,adjective
allashirdetesekben,noun
virusokrol,noun
integraciohoz,other
aligha,other
integracios,other
zoldseggel,noun
alter,other
egyetemi,adjective
lozsice,noun
juthassanak,other
eutelsat,other
kepviselocsoport,noun
visszapattant,verb
kiserletezik,verb
csatornan,noun
memory,other
kiadvany,noun
ejtoeernyoezesre,other
cso,other
valasztason,"verb,noun"
gyoker,noun
kapcsolatainak,noun
brazilia,other
teszi,verb
kar,noun
dontojeben,other
kaphat-e,other
tajekoztaton,verb
fiuk,noun
vot,other
valtoztatvan,verb
tavaly,adverb
hazanktol,other
veszteni,verb
szilagyi,other
tab,other
decemberi,adjective
irogat,noun
belugymi,other
loistallot,other
fighter,other
kartyam,noun
usa-kanada,noun
targytalan,adjective
ps,other
ujsag(ok,noun
anyaga,noun
aipeatuj,other
alkalmazottjai,noun
tilalmat,noun
szovetseg,noun
smith,other
kulugyminiszternek,noun
gafibie,other
szunetet,noun
szoossze,other
banya,noun
tajekoztatast,noun
vett,verb
ohajt,other
fopolgarmesterhelyettes,noun
ora,noun
kezdeti,adjective
csapatbajnoksag,noun
hivo,other
vegi,noun
megneztem,verb
magyarorszagon,noun
csinalod,verb
judith,other
evekben,noun
szunetel,verb
koeroekboel,other
kifejezetten,adverb
vitanal,other
millio,noun
etim.szotarbol,other
no,other
kimeljenek,verb
kulonos,other
zamosan,adverb
jogokkal,noun
informaciohoz,other
kobcenti,other
kisgyori,other
bence,other
hasonlokeppen,adverb
opus,other
unneprol,other
nyelvi,adjective
merjenek,verb
commander,other
akkuval,noun
velemenye,noun
vek,noun
foszerkesztoje,noun
eloszlas,noun
szelesiteni,verb
eliras,verb
adatait,noun
vegeta,other
szobakerult,verb
kovetsegeken,noun
visszafejlodeset,noun
megszavazni,verb
keszek,noun
dos-applikaciot,noun
modhatarozo,noun
sulya,noun
latin,other
probaljuk,verb
alapismeretet,noun
szervezeteknel,noun
felreertettetek,verb
mm2,other
kigyuurt,other
tuzparancsok,noun
tudjanak,verb
tunteto,noun
menu,other
kempingsajtban,noun
uzeneteket,noun
erzesem,"verb,noun"
szigetelni,verb
szabadalma,noun
vitaban,noun
jovedelmezosegenek,noun
oket,noun
holgyek,noun
fejlodest,other
kozgaz,other
tasrol,other
vegtelenul,adverb
dontonek,other
erdekesebb,adjective
alapjelentes,noun
erzsebet,other
sobihard,other
formatumara,other
eredo,noun
varakozik,verb
terulet-fenntarto,noun
kisgazdapartot,noun
lakik-e,other
seggebe,noun
illesszuk,verb
ejiesef,other
sajtooban,noun
egysegtol,other
mukodes,verb
delegaciot,noun
percetol,other
latinod,other
erintettekkel,"verb,noun"
amator,noun
tothne,other
birosag,noun
kosuth,other
kozuluk,other
mondani,verb
erositsek,verb
osszegek,noun
lazatot,noun
hektart,noun
kerdesedre,other
argyelan,other
oux,other
sikerult,verb
csalas,noun
alkalmatlan,adjective
erheto,other
terhek,noun
kotelezett,verb
vallott,verb
lejatszotta,verb
gorbeid,other
megjegyzesevel,other
gimit,other
kormanyzati,adjective
rendezte,verb
talalkozot,noun
esetre,noun
javor,other
cimzettjuk,noun
papirnegyzet,noun
lepett,verb
tobbek,other
if,other
archaikus,adjective
veszteglesre,other
