words,pos
가게,noun
가격03,other
가구03,other
가구04,noun
가까워지다,verb
가까이,adverb
가까이,adverb
가깝다,adjective
가꾸다,verb
가끔,adverb
가난01,noun
가난하다,adjective
가늘다,adjective
가능,adjective
가능성,noun
가능하다,verb
가능해지다,verb
가다01,verb
가다01,verb
가득01,adverb
가득하다01,adjective
가득히,adverb
가라앉다,verb
가려지다,verb
가령05,other
가로01,other
가로등,noun
가로막다,verb
가로수,noun
가루01,noun
가르다,verb
가르치다01,verb
가르침,noun
가리다02,verb
가리다03,verb
가리키다01,verb
가만,adverb
가만있다,verb
가만히,adverb
가뭄,noun
가방01,noun
가볍다,adjective
가사09,other
가상05,other
가수11,other
가스,noun
가슴01,noun
가슴속,noun
가요02,other
가운데,other
가위01,noun
가을01,noun
가이드,noun
가입,noun
가입자,noun
가입하다,verb
가장01,other
가장07,other
가정06,other
가정07,other
가정교사,noun
가져가다,verb
가져다주다,verb
가져오다,verb
가족01,noun
가죽01,noun
가지01,noun
가지04,noun
가지다,verb
가지다,verb
가짜,"adjective,noun"
가치06,noun
가치관,noun
가톨릭,other
가하다01,verb
각01,other
각각01,other
각각01,other
각국,noun
각기02,other
각오01,noun
각자02,other
각자02,other
각종,"adjective,noun"
간01,noun
간08,other
간10,other
간격02,noun
간단하다02,adjective
간단히,adverb
간부05,noun
간섭,noun
간식02,noun
간신히,adverb
간장01,noun
간접,"noun,adjective"
간접적,adjective
간판02,noun
간편하다,adjective
간호,noun
간호사,noun
간혹,adverb
갇히다,verb
갈다01,verb
갈다02,verb
갈등,noun
갈비01,noun
갈비탕,noun
갈색,adjective
갈수록,other
갈아입다,verb
갈아타다,verb
갈증,noun
감01,other
감12,other
감각02,noun
감기04,noun
감다01,verb
감다03,verb
감독02,other
감동02,"noun,verb"
감동적,adjective
감사08,other
감사하다05,verb
감사하다05,verb
감상05,noun
감상하다04,verb
감소01,noun
감소되다,verb
감소하다,verb
감수성02,noun
감싸다,verb
감옥02,noun
감자01,noun
감정06,other
감정적01,adjective
감추다,verb
감히,adverb
갑05,other
갑자기,adverb
갑작스럽다,adjective
값,noun
값싸다,adjective
강01,other
강남,other
강당,noun
강도05,other
강도06,other
강력하다,adjective
강력히,adverb
강렬하다02,adjective
강물,noun
강변01,noun
강북,other
강사04,other
강수량,noun
강아지,noun
강요하다,verb
강원도,other
강의02,other
강의하다02,verb
강제01,other
강조02,other
강조하다,verb
강하다02,"verb,adjective"
강화하다02,verb
갖가지,noun
갖다01,verb
갖다01,verb
갖추다,verb
같다,adjective
같이,other
같이하다,verb
갚다,verb
개03,other
개10,other
개개인,noun
개구리,noun
개국01,other
개나리01,noun
개다01,verb
개미03,noun
개발되다,verb
개발하다,verb
개방04,noun
개방되다,verb
개방하다03,verb
개별,adjective
개선01,noun
개선되다01,verb
개선하다01,verb
개성03,noun
개월,noun
개인02,other
개인적,adjective
객관적,adjective
걔,other
거01,other
거01,other
거기01,other
거꾸로,adverb
거대하다,adjective
거두다,verb
거들다01,verb
거듭,adverb
거리01,noun
거리02,noun
거리08,noun
거부하다,verb
거실02,noun
거액,noun
거울01,noun
거의01,adverb
거절하다01,verb
거짓,"noun, adjective"
거짓말,noun
거치다01,verb
거칠다,"adjective,verb"
거품,noun
걱정,noun
걱정되다,verb
걱정스럽다,adjective
걱정하다,verb
건04,other
건강03,noun
건강하다02,adjective
건너01,verb
건너가다,verb
건너다,verb
건너오다,verb
건너편,noun
건넌방,noun
건네다,verb
건네주다,verb
건드리다,verb
건물03,noun
건설,noun
건설되다,verb
건설하다,verb
건전하다,adjective
건조04,"adjective, noun"
