words,pos
خارج,adverb
اکسپدیشن,noun
آلیاژ,noun
پیشینهء,noun
نقاد,noun
آلوپکونسوس,other
فاحشی,adjective
رودولف,other
کفشهای,noun
مارلبوروست,other
تروآ,other
رزومهٔ,noun
النفحات,noun
دلدادهٔ,adjective
بمادرش,other
وشو,other
بندیهای,other
جیرالدا,other
به,other
شبیهی,"noun,adjective"
ازعلائم,noun
بشتابی,verb
رویاوا,other
اورانیومی,noun
ویسکی,noun
شیطان,other
ماهم,noun
ببازید,other
کلرومتیل,other
درنگون,noun
احشای,noun
چواشک,noun
صورت,noun
ولترون,other
سپاسگذارم,verb
وانشق,verb
اویند,other
حرکت,"noun,verb"
طبیعیات,noun
سیمای,adjective
لابیدشیر,other
گریدو,other
بناینگذاری,"noun,verb"
هیکن,other
پرباران,adjective
سوفوز,other
استئوپورز,noun
وزیر,other
سریو,other
راه,noun
نفرشان,noun
پیکه,noun
ایمامورا,other
انداختن,verb
مرسل,noun
ویقول,other
هزاک,other
اورلینز,other
امیربهادری,other
خشکی,noun
موگابه,other
پالمور,other
منزه,adjective
دورافتادگان,noun
چلینج,noun
تضرع,verb
رهون,other
مجارها,noun
پسانگاه,other
جنکل,noun
الجلال,other
خانلیق,noun
ینگگا,other
اختارهما,other
دئیه,noun
کاریها,noun
العوض,other
نوا,"noun,verb"
مهرجوئی,noun
مطرود,"adjective,verb"
آدمک,noun
دهقان,noun
به,other
نوسارد,other
بولوار,noun
شرابخور,"noun,verb"
وتغییرات,noun
عبدالوندها,other
دایم,adjective
به,other
شبگیرش,other
میرزامحسن,other
پاسدرماجیان,noun
اسطوره,noun
تن,noun
سوییت,noun
بازنگردم,verb
تیجوآنای,other
ابابیلی,other
صابریان,other
بشم,other
وسیانوتیك,other
یافتهٰ,"noun,verb"
الکلام,noun
تراچینا,other
آمیبوزوا,other
سایبرنتیک,noun
درازیدن,verb
بدكاران,noun
پلیارشی,noun
سازگارشدن,verb
تغییر,"noun,verb"
نامتنهای,other
فاصلهٔ,other
سطر,noun
ورنرفون,other
معطی,noun
غیرمنفی,adjective
ناموضعی,noun
متحلی,adjective
شوزویی,other
کمیسری,noun
تابوامیکی,other
نیدرراین,other
نایادها,other
چاهها,noun
تلگرف,other
ساییده,verb
کورانه,adjective
جوالیقان,other
براوناو,other
دقائق,noun
خودبهبودی,noun
فورفورال,noun
بشکنیش,other
مخاطبینی,other
بخوشی,other
میدهید,verb
مکرره,adjective
سپیدی,"noun,adjective"
زانرخ,other
کردن,verb
قرارگرفتند,verb
ثقْل,noun
واترالو,other
بییادپرا,other
جانفزا,noun
بنزامید,other
زنجیرشان,noun
دارانجیر,noun
برتر,adjective
‍‍‍‍‍پدر,noun
بیاشوبم,verb
همبسگی,noun
میرزااحمد,other
مخروطزاها,other
لیزیستراتا,other
استش,other
متصاعد,adjective
نعلست,other
یاران,noun
تبعاتی,noun
پرکار,adjective
آراواکی,other
لینگافن,other
وتکریم,"noun,verb"
مارگیا,other
کردن,verb
آشکارساز,noun
سورن,other
پرعاطفه,adjective
انیلی,other
تناسبها,noun
دیوارهای,noun
عبرانی,adjective
مامسته,other
چوروینست,other
کردن,verb
خبازه,noun
وقلمزنی,noun
دزک,noun
خو,other
حجرند,other
آکندند,verb
پتکووسکی,other
فالشمس,other
المعتبره,adjective
تغیرر,other
سیونداست,other
ترحیم,noun
بقول,other
خاضع,adjective
پینسک,other
وانهادگی,noun
دارالترجمه,noun
پذیرایی,noun
وحه,other
حصیل,noun
آللاه,other
استورگن,other
درگاهیان,noun
هفتا,other
السفال,noun
رازورانه,adjective
وجمع,other
العواذل,other
نگشادم,verb
فارص,other
مفتیان,noun
التوعیه,noun
نوازهای,noun
پناهنده,noun
سوک,noun
فردمن,other
برببست,other
سالیکنده,noun
تاتارچا,other
اسفرجان,other
بیوفتند,verb
رکاشیکاری,noun
سیناهونی,other
