words,pos
abakus,noun
abażur,noun
abchascy,other
abchaski,other
abdykacja,noun
abecadło,noun
abisyńscy,adjective
abisyński,adjective
abiturient,noun
ablacja,noun
ablatyw,noun
abnegat,noun
abonament,noun
abonent,noun
abonowana,verb
abonowane,verb
abonowanego,other
abonowanej,other
abonowanemu,other
abonowani,"noun,verb"
abonowany,adjective
abonowanych,other
abonowanym,other
abonowanymi,other
abonowaną,other
abonować,verb
abonujące,verb
abonującego,verb
abonującej,other
abonującemu,other
abonujący,verb
abonujących,"verb,noun"
abonującym,other
abonującymi,verb
abonującą,verb
absolutnie,adverb
absolutny,adjective
absolutyzm,noun
absolwent,noun
absolwentka,noun
absorbować,verb
abstrakcja,noun
abstynent,noun
absurd,"adjective,noun"
absurdyzm,noun
absynt,noun
aby,other
acetamid,other
acetylen,noun
achromatopsja,noun
aczkolwiek,other
adapter,noun
adept,noun
administracja,noun
administrator,noun
adopcyj,other
adoracja,noun
adres,noun
adwokat,noun
adwokat diabła,other
adygejski,adjective
afera,noun
afgańscy,adjective
afrykanerski,adjective
afrykański,adjective
agat,other
agawa,other
agencja towarzyska,other
agentura,noun
aglomeracja,noun
aglutynacyjny,adjective
agregat,noun
agregat prądotwórczy,noun
agresywny,adjective
aha,other
akademicki,adjective
akademik,noun
akapit,noun
akcelerometr,noun
akcja,noun
akomodacja,noun
akordeonista,noun
akordeonistka,noun
akrobata,noun
akrobatka,noun
akronim,noun
aksjomat,noun
akt,noun
aktor,noun
aktorka,noun
aktorzy,noun
aktualnie,adverb
aktualniejszy,adjective
aktyn,other
aktywista,noun
aktywistka,noun
aktywniejszy,adjective
aktywny,adjective
akupresura,noun
akupunktura,noun
akwarium,noun
akwedukt,noun
alanina,noun
alarm,noun
alarmy,noun
albatros,noun
albański,adjective
albinizm,noun
albo,other
aldehyd,noun
ale,other
aleja,noun
aleje,noun
alergia,noun
alfabety,noun
alfons,noun
algebra,noun
algorytm,noun
alkaloid,noun
alkan,other
alken,noun
alkohol,noun
alkohole,noun
alkoholiczka,noun
alkoholik,noun
alkoholowy,adjective
alpaga,noun
alpaka,noun
altówka,noun
aluminium,noun
ambasador,noun
ambasadorka,noun
ambitniejszy,adjective
ambiwalentnie,adverb
ambiwalentny,adjective
ambulans,noun
amen,other
ameryk,other
