words,pos
ஃபக்,other
அ,other
அகதி,noun
அகற்று,verb
அகற்றுதல்,verb
அக்கம்,noun
அக்கறை,noun
அக்டோபர்,other
அங்கீகரிக்க,verb
அங்கீகாரம்,noun
அங்கு,other
அங்குலம்,noun
அசல்,adjective
அசாதாரணமான,adjective
அசாதாரணமானது,adjective
அசிங்கமான,adjective
அசுரன்,other
அசை,verb
அச்சகம்,noun
அச்சு,noun
அச்சுறுத்தல்,noun
அச்சுறுத்துகின்றனர்,verb
அஞ்சல்,noun
அடங்கும்,verb
அடடா,other
அடமானம்,noun
அடர்த்தி,noun
அடி,noun
அடிக்கடி,adverb
அடித்தளம்,noun
அடிப்படை,noun
அடிப்படையில்,other
அடிமை,noun
அடிமைத்தனம்,noun
அடிவானம்,noun
அடுக்கு,noun
அடுத்தது,adjective
அடைய,verb
அடையாளம்,noun
அட்டவணை,noun
அட்டை,noun
அணி,noun
அணிய,"verb,noun"
அணிவகுப்பு,noun
அணுகக்கூடியது,verb
அணுகல்,noun
அணுகுமுறை,noun
அணுக்கரு,noun
அண்டை,noun
அதனால்,other
அதன்,other
அதிகபட்சம்,noun
அதிகப்படியான,adjective
அதிகரி,verb
அதிகரிக்க,verb
அதிகரித்தது,verb
அதிகாரப்பூர்வமாக,other
அதிகாரம்,noun
அதிகாரி,noun
அதிசயம்,noun
அதிநவீன,adjective
அதிபர்,noun
அதிர்ச்சி,noun
அதிர்வெண்,noun
அதிர்ஷ்டசாலி,noun
அதிர்ஷ்டம்,noun
அதிர்ஷ்டவசமாக,adverb
அது,other
அதே,other
அதேசமயம்,other
அதேபோல்,other
அத்தகைய,adjective
அத்தியாயம்,noun
அத்தியாவசியமான,adjective
அத்தை,noun
அநாமதேய,noun
அநேகமாக,adverb
அந்த,other
அந்நியன்,noun
அபத்தமானது,adjective
அப்பா,noun
அப்பால்,other
அப்பாவி,noun
அமர்வு,noun
அமலாக்கம்,noun
அமிலம்,noun
அமெரிக்கன்,other
அமைக்க,verb
அமைக்கப்பட்டது,verb
அமைச்சகம்,noun
அமைதி,noun
அமைதியாக,adverb
அமைதியான,adjective
அமைத்தல்,noun
அமைப்பு,noun
அம்சம்,noun
அம்பலப்படுத்து,verb
அம்பு,noun
அம்மா,noun
அரங்கம்,noun
அரச,noun
அரசன்,noun
அரசாங்கம்,noun
அரசியலமைப்பு,noun
அரசியல்,noun
அரசியல்வாதி,noun
அரட்டை,noun
அரண்மனை,noun
அரபு,other
அரிசி,noun
அரிதாக,adverb
அரிதாகவே,adverb
அரிதான,adjective
அருகில்,other
அருங்காட்சியகம்,noun
அருமை,"noun,adjective"
அர்த்தமுள்ள,adjective
அர்த்தம்,noun
அர்ப்பணிக்க,verb
அர்ப்பணிப்பு,noun
அலகு,noun
அலங்காரத்தில்,other
அலமாரி,noun
அலமாரியை,noun
அலறல்,noun
அலுவலகம்,noun
அலை,noun
அலையும்,verb
அல்லது,other
அவசரம்,noun
அவசியம்,other
அவநம்பிக்கையுடன்,other
அவமானம்,noun
அவரது,other
அவரை,other
அவர்,other
அவர்களது,other
அவர்களுக்கு,other
அவர்கள்,other
அவளது,other
அவளை,other
அவள்,other
அவுன்ஸ்,other
அவென்யூ,other
அவ்வப்போது,other
அழகான,adjective
அழகு,"noun,adjective"
அழி,verb
அழிக்க,verb
அழிவு,noun
அழுக்கு,noun
அழுத்தம்,noun
அழுத்து,verb
அழைக்கவும்,verb
அழைப்பவர்,noun
அழைப்பிதழ்,noun
அழைப்பு,noun
அளவீடு,noun
அளவு,noun
அளவுகோல்,noun
அளவுகோல்கள்,noun
அளவுரு,noun
அறம்,noun
அறிகுறி,noun
அறிக்கை,noun
அறிக்கையிடுதல்,verb
அறிஞர்,noun
அறிமுகப்படுத்த,verb
அறிமுகம்,noun
அறிய,verb
அறியப்படுகிறது,verb
அறியாமை,noun
அறிவாற்றல்,noun
அறிவிக்கின்றன,verb
அறிவிப்பு,noun
அறிவியல்,noun
அறிவு,noun
அறிவுசார்,adjective
அறிவுறுத்தல்,noun
அறிவுறுத்துங்கள்,verb
அறுதி,noun
அறை,noun
அறைகூவல்,noun
அறைதல்,verb
அற்புதமான,adjective
அனுதாபம்,noun
அனுபவம்,noun
அனுபவிக்க,verb
அனுப்பு,verb
அனுமதி,noun
அனுமதிக்க,verb
அனுமானம்,noun
அனைத்து,adjective
அனைவரும்,other
அன்பான,adjective
அன்பு,noun
அன்பே,other
அன்று,other
அன்னிய,adjective
ஆ,other
ஆஃப்,other
ஆக,other
ஆகஸ்ட்,other
ஆக்கிரமிக்க,verb
ஆக்ஸிஜன்,noun
ஆங்கிலம்,noun
ஆசிய,other
ஆசிரியர்,noun
ஆசீர்வதிப்பார்,verb
ஆசீர்வாதம்,noun
ஆசை,noun
ஆச்சரியமாக,adverb
ஆச்சரியம்,noun
ஆடம்பரமான,adjective
ஆடுகள்,noun
ஆடை,noun
ஆடைகள்,noun
ஆட்சி,noun
ஆட்சியர்,noun
ஆட்சேபனை,noun
ஆட்சேர்ப்பு,noun
ஆட்டக்காரர்,noun
ஆட்டோ,noun
ஆணி,noun
ஆணை,noun
ஆண்,noun
ஆண்டு,noun
ஆண்டுதோறும்,other
ஆண்டுவிழா,noun
ஆதரவாளர்,noun
ஆதரவான,adjective
ஆதரவு,noun
ஆதாயம்,noun
ஆதாரம்,noun
ஆத்திரம்,noun
ஆபத்தானது,adjective
ஆபத்து,noun
ஆப்பிரிக்க,other
ஆப்பிள்,noun
ஆமை,noun
ஆம்,other
ஆயிரம்,noun
ஆயினும்கூட,other
ஆயுதம்,noun
ஆய்வகம்,noun
ஆய்வாளர்,noun
ஆய்வு,noun
ஆரஞ்சு,noun
ஆரம்ப,"noun,adjective"
ஆரம்பத்தில்,other
ஆரம்பநிலை,noun
ஆரம்பம்,noun
ஆராயுங்கள்,verb
ஆராய்ச்சி,noun
ஆராய்ச்சியாளர்,noun
ஆரோக்கியமான,adjective
ஆரோக்கியம்,noun
ஆர்ப்பாட்டம்,noun
ஆர்வமாக,adverb
ஆர்வம்,noun
ஆர்வலர்,noun
ஆலிவ்,other
ஆலை,noun
ஆலோசகர்,noun
ஆலோசனை,noun
ஆல்பம்,noun
ஆல்பா,other
ஆவணப்படம்,noun
ஆவணம்,noun
ஆவலுடன்,adverb
ஆவி,noun
ஆழமற்ற,adjective
ஆழமாக,adverb
ஆழமான,adjective
ஆழம்,noun
ஆளுமை,noun
ஆளும்,verb
ஆறாவது,adjective
ஆறு,noun
ஆறுதல்,noun
ஆற்றல்,noun
ஆற்றொணா,verb
ஆனாலும்,other
ஆன்மா,noun
ஆன்மீக,noun
ஆஹா,other
இங்கே,other
இசை,noun
இசைக்கலைஞர்,noun
இசைக்கு,other
இசைக்குழு,noun
இடமளிக்க,verb
இடம்,noun
இடம்பெயர்தல்,verb
இடுகின்றன,verb
இடுப்பு,noun
இடும்,verb
இடைகழி,noun
இடைநிறுத்தம்,noun
இடைநீக்கம்,noun
இடைமுகம்,noun
இடையே,other
இடைவெளி,noun
இணக்கம்,noun
இணங்க,verb
இணை,other
இணைக்க,verb
இணைக்கவும்,verb
இணைத்துக்கொள்கின்றன,verb
இணைந்தது,verb
இணைந்து,verb
இணைப்பு,noun
இணையதளம்,noun
இணையான,adjective
இதயம்,noun
இதழ்,noun
இதற்கிடையில்,other
இதனால்,other
இது,other
இதுவரை,other
இதேபோல்,other
இத்தாலிய,other
இந்தியன்,other
இப்போது,adverb
இயக்கம்,"noun,verb"
இயக்கவியல்,noun
இயக்கி,"noun,verb"
இயக்குபவர்,noun
இயக்குனர்,noun
இயந்திரம்,noun
இயந்திரவியல்,noun
இயலாமை,noun
இயல்புநிலை,noun
இயற்கை,noun
இயற்கையாகவே,other
இயற்பியல்,noun
இயற்றவும்,verb
இரகசிய,"noun,adjective"
இரக்கம்,noun
இரசாயன,noun
இரட்டை,"adjective,noun"
இரண்டாவது,adjective
இரண்டு,"adjective,noun"
இரண்டும்,other
இரத்தக்களரி,noun
இரத்தப்போக்கு,noun
இரத்தம்,noun
இரவு,noun
இராச்சியம்,noun
இராணுவ,noun
இராணுவம்,noun
இராஜதந்திர,noun
இரு,other
இருக்கலாம்,other
இருக்கும்,other
இருக்கை,noun
இருந்தாலும்,other
இருந்து,other
இருபது,noun
இருப்பது,other
இருப்பினும்,other
இருப்பு,verb
இரும்பு,noun
இருள்,noun
இலக்கியம்,noun
இலக்கியவாதி,noun
இலக்கு,noun
இலவசம்,noun
