words,pos
непоодинокість,noun
теплопередача,noun
скрекотання,noun
аншлаговий,adjective
зосередити,verb
знерухоміти,verb
самодур,noun
пилипчук,other
знепліднений,adjective
уречевити,verb
сплін,noun
доброзичливий,adjective
трикольоровий,adjective
затруїти,verb
домислювати,verb
ендотелій,noun
єдинодержавність,noun
вертіж,noun
газовик,noun
гамбіський,adjective
підтягатися,verb
підсклянник,noun
перліт,noun
радехів,other
пелехатий,adjective
посоловілість,noun
анафаза,noun
комолий,adjective
абетка,noun
дополоти,verb
плакатність,noun
готельчик,noun
зарухати,verb
відпис,noun
базедовіфікація,noun
пропалювання,noun
тріпотливий,adjective
поналазити,verb
спаювання,noun
нефокальний,adjective
сприйняти,verb
несистематичність,noun
велетенський,adjective
одноступеневий,adjective
газовідвідний,adjective
раптом,adverb
театральщина,noun
задубілий,adjective
сеньйорита,other
круглобокий,adjective
гетероауксин,noun
аслан,other
кусючий,adjective
напалмовий,adjective
привітальний,adjective
паршивка,noun
підпрограмний,adjective
тесовий,adjective
переривистість,noun
фантазуючи,verb
укорінювання,noun
протавати,verb
устрично-білий,adjective
шпіонаж,noun
каротин,noun
викривальниця,noun
муфтіят,other
регенератор,noun
смітячи,verb
позабризкувати,verb
бахурча,noun
краплинка,noun
полуничник,noun
ставка,noun
пірометр,noun
видноколо,noun
пополотнілий,adjective
удягати,verb
домуштрувати,verb
колосистий,adjective
закільцьований,adjective
вісенте,other
сент-екзюпері,other
розлом,noun
неграматичний,adjective
дофарбувати,verb
проголошуваний,adjective
тесати,verb
увічливість,noun
напівзгнилий,adjective
заколядувати,verb
вгодити,verb
попростилати,verb
угрупування,noun
декламувати,verb
мірочка,noun
коксохімзавод,noun
монокультурність,noun
фонетичний,adjective
краснодар,other
реалізатор,noun
перегородковий,adjective
солов'єм,noun
реалізувати,verb
утілити,verb
руїна,noun
членство,noun
недомисел,noun
співвинний,adjective
чоловіконенависниця,noun
пресвітеріанський,adjective
завішати,verb
оздоровчий,adjective
малописьменність,noun
паразитологія,noun
батисфера,noun
енерговугілля,noun
скучний,adjective
заграбастання,noun
татковий,adjective
розліт,noun
причалити,verb
заболочений,adjective
мономах,other
продаж,noun
красовитий,adjective
співжиття,noun
бацилоносійство,noun
вводіння,noun
кібернетизація,noun
приїзний,adjective
каток,noun
куценький,adjective
прикомандирувати,verb
примус,noun
склеротик,adjective
змодернізувати,verb
остарбайтер,noun
наспиртовувати,verb
електроприлад,noun
білоцерківський,adjective
передноворічний,adjective
неповномірний,adjective
сковородознавець,noun
важніючи,verb
бурхан,other
ех,other
незмірний,adjective
правдолюбство,noun
щезати,verb
ярина,other
декальцинація,noun
незавантажений,adjective
лопатний,adjective
ерегувати,verb
сполоханість,noun
апліке,noun
кубок,noun
прибічниця,noun
ненапружений,adjective
заросток,noun
урівнювати,verb
фоліо,noun
екс-президент,noun
преюдиціальний,adjective
невротизація,noun
принадливо,adjective
укривати,verb
невтримність,noun
навчений,adjective
незабаром,adverb
поперепрівати,verb
борацит,noun
телесезон,noun
утихомирювання,noun
побережжя,noun
шлейка,noun
семітизм,noun
полежати,verb
карелія,other
антикварний,adjective
понамилюваний,adjective
абичиїй,adjective
попродати,verb
мішечник,noun
розголошувати,verb
неотесаність,noun
царствений,adjective
бронштейн,other
ледве-ледве,other
світловодський,adjective
гуртівня,noun
першодрукар,noun
багатолезовість,noun
вибачність,noun
парубоцтво,noun
фізіопроцедура,noun
вирізьблювати,verb
діна,noun
повиригувати,verb
напрямленість,noun
дьєрдь,other
поверхневий,adjective
осовілість,noun
мікрокрапля,noun
фінвал,other
деким,other
багатопотоковість,noun
кашпіровський,other
насіннєвий,adjective
хапуга,noun
багатший,adjective
ярість,noun
цензурований,adjective
обмізковування,noun
тифозі,noun
еріх,other
шпіцрутен,noun
сипіти,verb
реактивний,adjective
яєчко,noun
сіно,noun
напівпідвал,noun
творчо,adverb
поганкуватий,adjective
аменабар,other
глинянка,noun
банківсько-кредитний,adjective
поставання,noun
підмочений,adjective
траєкторія,noun
дібрати,verb
лісистий,adjective
призовник,noun
бузимок,noun
муніципія,noun
закатрупити,verb
заміщено,verb
затушувати,verb
виклинюватися,verb
вклепаний,adjective
розширювати,verb
поліфункціональний,adjective
заговорити,verb
педантичний,adjective
кілька,other
дегероїзація,noun
залежність,noun
законопачуваний,adjective
навіювання,noun
прочищання,noun
бульбіт,noun
гриб,noun
перевищений,adjective
інкасувати,verb
укорочувати,verb
обробка,noun
укладка,noun
відпитати,verb
випереджальний,adjective
пропускання,noun
розпарювати,verb
поперейменовувати,verb
слобожанин,noun
півгодинний,adjective
б'ючи,other
шильний,adjective
гідрохімічний,adjective
ставище,noun
віскозин,noun
хіпувати,verb
захмарити,verb
безсимптомний,adjective
поржавілість,noun
поволі,adverb
неблагонадійно,adverb
одноутробний,adjective
кононович,other
сталагміт,noun
нехапливий,adjective
багатобарвність,noun
покришечний,adjective
пошаткувати,verb
беж,other
полоти,verb
взаємозалежність,noun
ознайомити,verb
опромінений,adjective
зближування,noun
позавішуваний,adjective
нахиляти,verb
зліченність,noun
шнурований,adjective
воскрешати,verb
йодоалкілування,noun
витіюватий,adjective
недофінансування,noun
псаломщик,noun
чистота,noun
ерудиція,noun
держобвинувачення,noun
укорінений,adjective
швагер,noun
малярка,noun
вгомонити,verb
гоготіння,noun
царський,adjective
вищир,other
злючка,noun
екологічність,"noun,adjective"
забрити,verb
дискурсивний,adjective
бісероплетіння,noun
видрукувати,verb
