words,pos
a,other
a dua,other
a hoàn,other
a phiến,noun
a tòng,other
à,other
ả,other
ả đào,other
ả giang hồ,other
á,other
á-căn-đình,noun
á khẩu,other
á khôi,other
á kim,other
á rập,other
ạ,other
ác,adjective
ác cảm,"noun,adjective"
ác chiến,other
ác mộng,noun
ác nghiệt,adjective
ác phụ,other
ác tà,other
ác tâm,other
ác thú,other
ách,other
ạch,other
ai,other
ai ai,other
ai điếu,other
ai oán,other
ải,other
ải quan,noun
ái,other
ái ân,other
ái hữu,other
ái khanh,other
ái lực,other
ái mộ,other
ái nam ái nữ,other
ái ngại,other
ái nhĩ lan,other
ái phi,other
ái quốc,other
ái tình,other
am,other
am hiểu,other
am pe,other
ảm đạm,adjective
ám,other
ám ảnh,noun
ám chỉ,other
ám hại,other
ám hiệu,noun
ám muội,noun
ám sát,other
ám tả,other
ám thị,noun
an,other
an ba ni,other
an bài,other
an cư,other
an dưỡng,other
an nghỉ,other
an ninh,noun
an phận,other
an táng,"verb,noun"
an tâm,other
an toàn,adjective
an ủi,"verb,noun"
an vị,other
án,other
án mạng,noun
án ngữ,other
án phí,noun
án sát,other
án thư,noun
án tử hình,other
ang,other
ang áng,"noun,adjective"
áng,adjective
anh,other
anh ánh,other
anh dũng,other
anh đào,noun
anh em,other
anh hùng,noun
anh linh,other
anh tài,other
anh thư,other
anh tuấn,other
ảnh,noun
ảnh ảo,"noun,adjective"
ảnh hưởng,"noun,verb"
ảnh lửa,noun
ánh,adjective
ánh đèn,noun
ánh nắng,noun
ánh sáng,noun
ao,noun
ao ước,other
ào,other
ào ào,other
ào ạt,adverb
ảo,adjective
ảo ảnh,noun
ảo giác,noun
ảo mộng,"noun,adjective"
ảo não,adjective
ảo thuật,noun
ảo tưởng,noun
ảo tượng,noun
áo,noun
áo choàng,noun
áo dài,noun
áo giáp,noun
áo gối,noun
áo mưa,noun
áo ngủ,noun
áo quan,noun
áo quần,noun
áo sơ mi,noun
áp,other
áp bức,"noun,adjective"
áp dụng,verb
áp đảo,other
áp đặt,"verb,noun"
áp giải,other
áp lực,noun
áp suất,noun
áp tải,noun
áp tới,other
át,other
au,other
áy náy,other
ắc qui,noun
ăm ắp,adjective
ẵm,verb
ăn,verb
ăn bám,other
ăn bận,other
ăn bốc,other
ăn bớt,other
ăn cá,other
ăn cánh,other
ăn cắp,"verb,noun"
ăn chay,other
ăn chắc,other
ăn chơi,other
ăn cỗ,other
ăn cơm,other
ăn cơm tháng,other
ăn cưới,other
ăn cướp,"verb,noun"
ăn giải,other
ăn gian,other
ăn giỗ,other
ăn hại,"verb,noun"
ăn hiếp,"verb,noun"
ăn hoa hồng,other
ăn hỏi,other
ăn hối lộ,other
ăn không,other
ăn khớp,other
ăn kiêng,other
ăn lãi,other
ăn lan,other
ăn lương,other
ăn mày,noun
ăn nằm,other
ăn năn,"verb,noun"
ăn nhịp,other
ăn nói,other
ăn ở,other
ăn quịt,other
ăn sống,other
ăn sương,other
ăn tạp,other
ăn tết,other
ăn tham,other
ăn thề,other
ăn thua,other
ăn thử,other
ăn thừa,other
ăn tiệc,other
ăn tiền,other
ăn tiêu,other
ăn trộm,"verb,noun"
ăn uống,other
ăn vạ,other
ăn vụng,other
ăn xén,other
ăn xổi,other
ăn ý,other
ẳng ẳng,other
ắp,other
ắt,other
âm,"noun,adjective"
âm ấm,adjective
âm ba,other
âm cung,noun
âm cực,noun
âm dương,other
âm đạo,noun
âm điệu,noun
âm giải,noun
âm hạch,noun
âm hành,noun
âm hộ,noun
âm hồn,noun
âm hưởng,noun
âm ỉ,adjective
âm lượng,noun
âm mao,noun
âm mưu,noun
âm nang,noun
âm nhạc,noun
âm phủ,noun
âm sắc,other
âm thầm,adverb
âm thần,noun
âm thoa,noun
âm tín,"noun,adjective"
âm u,adjective
âm vận,noun
âm vật,noun
ầm,other
ầm ĩ,adjective
ẩm,adjective
ẩm thấp,adjective
ẩm thực,noun
ấm,adjective
ấm áp,adjective
ấm chén,noun
ấm cúng,adjective
ấm no,adjective
ân,other
ân ái,"noun,adjective"
ân cần,other
ân hận,"verb,noun"
ân huệ,noun
ân nghĩa,other
ân nhân,noun
ân oán,"noun,adjective"
ân tình,"adjective,noun"
ân xá,noun
ẩn,"adjective,verb"
ẩn dật,adjective
ẩn náu,other
ẩn sỉ,other
ẩn ý,noun
ấn,"verb,noun"
ấn chỉ,noun
ấn định,verb
ấn hành,other
ấn loát,noun
ấn quán,noun
ấn tín,noun
ấn tượng,adjective
ấp,noun
ấp ủ,verb
ập,other
âu,other
âu châu,other
âu phục,noun
âu sầu,noun
âu yếm,adjective
ẩu,other
ẩu đả,noun
ấu,other
ấu trĩ,adjective
ấu trùng,noun
ấy,other
ba,other
ba ba,noun
ba bó một giạ,other
ba chân bốn cẳng,noun
ba chìm bảy nổi,other
ba cọc ba đồng ba dò,other
ba đào,noun
ba gai,noun
ba hoa,other
ba láp,other
ba lăng nhăng,other
ba lê,noun
ba lô,noun
ba phải,other
ba quân,other
ba que,other
ba rọi,noun
ba sinh,other
ba trợn,adjective
ba tư,other
bà,other
bà chằng,other
bà chủ,other
bà con,other
bà cụ,noun
bà đỡ,noun
bà phước,other
bà vãi,other
bả,other
bả vai,noun
bã,other
bá,other
bá âm,noun
bá cáo,noun
bá chủ,other
bá hộ,other
bá láp,other
bá quan,other
bá quyền,other
bá tánh,noun
bá tước,other
bá vương,other
bạ,other
bạ ai,other
bác,other
bác ái,other
bác bẻ,other
bác cổ,other
bác học,other
bác sĩ,noun
bác vật,other
bạc,noun
bạc ác,other
bạc hà,noun
bạc hạnh,noun
bạc nghĩa,other
bạc nhạc,noun
bạc nhược,adjective
bạc phận,other
bạc tình,other
bách,other
bách bộ,other
bách hợp,noun
bách khoa,noun
bách nghệ,noun
bách niên giai lão,other
bách phân,noun
bách thảo,noun
bách thú,noun
bách tính,other
bạch,adjective
bạch cầu,noun
bạch cúc,noun
bạch cung,noun
bạch dương,noun
bạch đàn,noun
bạch đinh,noun
bạch huyết,noun
bạch kim,noun
bạch lạp,noun
bạch ngọc,noun
bạch tuộc,noun
bạch tuyết,other
bạch yến,other
bài,noun
bài bác,other
bài báo,noun
bài ca,noun
bài diễn văn,other
bài học,noun
bài làm,other
bài luận,noun
bài thơ,noun
bài tiết,noun
bài vị,noun
bài xích,noun
bãi,noun
bãi biển,noun
bãi bỏ,other
bãi chức,other
bãi cỏ,noun
bãi công,other
bãi nại,other
bãi sa mạc,noun
bãi tha ma,other
bãi trường,other
bái,other
bái biệt,other
bái đáp,other
bái phục,noun
bái tạ,other
bái yết,other
bại,verb
bại hoại,adjective
bại lộ,"verb,noun"
bại sản,noun
bại tẩu,other
bại trận,other
bại vong,noun
bám,verb
bám riết,other
ban,noun
ban ân,other
ban bố,other
ban công,noun
ban đầu,other
ban đêm,other
ban giám khảo,other
ban hành,other
ban khen,other
ban ngày,other
ban phát,other
ban phước,other
ban thưởng,other
bàn,noun
bàn bạc,noun
bàn cãi,other
bàn chải,noun
bàn cờ,noun
bàn giao,"verb,noun"
bàn mổ,noun
bàn tán,other
bàn tay,noun
bàn thờ,noun
bàn tính,noun
bàn tọa,noun
bản,noun
bản án,noun
bản cáo trạng,other
bản chất,other
bản đồ,noun
bản đồ lưu thông,other
bản hát,other
bản in,other
bản kịch,noun
bản lãnh,noun
bản lề,noun
bản năng,noun
bản ngã,noun
bản quyền,noun
bản sao,noun
bản sắc,other
bản thảo,noun
bản tính,noun
bản tóm tắt,noun
bản văn,noun
bản vị,noun
bản xứ,noun
bán,verb
bán buôn,noun
bán cầu,noun
bán chịu,other
bán dạo,other
bán đảo,noun
bán kết,other
bán khai,other
bán kính,noun
bán lẻ,other
bán nam bán nữ,other
bán nguyệt,noun
bán nguyệt san,other
bán niên,other
bán thân,other
bán tín bán nghi,other
bán tự động,other
bạn,other
bạn cũ,other
bạn đọc,other
bạn đời,other
bạn học,other
bạn lòng,other
bạn thân,other
bang,noun
bang giao,other
bang trợ,other
bang trưởng,other
bàng,noun
bàng hoàng,adjective
bàng quan,other
bàng thính,noun
bảng,noun
bảng danh dự,other
bảng đen,noun
bảng hiệu,noun
báng,noun
báng bổ,noun
banh,noun
bành,other
bành trướng,other
bành voi,noun
bảnh,adjective
bảnh bao,adjective
bánh,noun
bánh bao,noun
bánh lái,noun
bánh mì,noun
bánh tráng,noun
bao,noun
bao bì,noun
bao biện,other
bao bọc,"verb,noun"
bao dung,other
bao giấy,noun
bao giờ,other
bao gồm,other
bao hàm,noun
bao la,other
bao lơn,noun
bao nhiêu,other
bao quanh,other
bao tay,noun
bao thơ,noun
bao tử,noun
bao vây,"verb,noun"
bào,noun
bào chế,verb
bào chữa,verb
bào thai,noun
bảo,other
bảo an,other
bảo chứng,noun
bảo đảm,"verb,noun"
bảo hiểm,noun
bảo hòa,noun
bảo hộ,"verb,noun"
bảo mật,noun
bảo quản,verb
bảo tàng,noun
bảo thủ,other
bảo trợ,"verb,noun"
bảo vệ,"verb,noun"
bão,noun
bão tuyết,noun
báo,noun
báo cáo,noun
báo chí,other
báo động,noun
báo hiếu,other
báo hiệu,other
báo hỷ,other
báo oán,other
báo ơn,other
báo thức,noun
báo trước,other
báo ứng,"noun,verb"
bạo,adjective
bạo bệnh,noun
bạo chúa,noun
bạo động,noun
bạo hành,noun
bạo lực,noun
bạo ngược,noun
bạo phát,other
bát,"verb,adjective"
bát âm,other
bát hương,noun
bát ngát,adjective
bát nháo,other
bạt,noun
bạt đãi,other
bạt mạng,other
bạt ngàn,noun
bàu,noun
báu vật,noun
bay,"verb,noun"
bay bướm,noun
bay hơi,"verb,noun"
bay lên,other
bay nhảy,other
bày,verb
bày biện,verb
bày đặt,other
bày tỏ,other
bảy,other
bắc,other
bắc bán cầu,other
bắc cực,other
băm,verb
bằm vằm,verb
bặm,other
băn khoăn,"noun,verb"
bắn,verb
bắn phá,verb
bắn tin,other
băng,noun
băng bó,"verb,noun"
băng ca,noun
băng dương,noun
băng điểm,noun
băng hà,noun
băng huyết,noun
băng keo,noun
băng sơn,noun
bằng,other
bằng an,other
bằng chứng,other
bằng hữu,other
bằng lòng,other
bẵng,other
bắp,noun
bắp cải,noun
bắp chân,noun
bắp đùi,noun
bắt,verb
bắt bẻ,other
bắt bí,other
bắt bớ,"verb,noun"
bắt buộc,other
bắt chước,verb
bắt cóc,other
bắt đầu,other
bắt giam,other
bắt nạt,"verb,noun"
bắt phạt,other
bắt rễ,other
bắt tay,other
bắt vạ,other
bặt,other
bặt tăm,other
bặt thiệp,other
bấc,noun
bậc,noun
bầm,"verb,noun"
bẩm,other
bẩm sinh,other
bẩm tính,other
bấm,verb
bấm bụng,other
bấm chuông,other
bần,adjective
bần cùng,noun
bần thần,adjective
bần tiện,adjective
bẩn,adjective
bẩn chật,other
bấn,verb
bận,adjective
bận lòng,other
bâng khuâng,adjective
bâng quơ,other
bấp bênh,adjective
bập bẹ,"verb,noun"
bập bềnh,adjective
bất,other
bất bạo động,other
bất biến,adjective
bất bình,other
bất chính,adjective
bất công,other
bất diệt,adjective
bất đắc chí,other
bất đắc dĩ,other
bất định,adjective
bất đồng,"noun,adjective"
bất động,"adjective,noun"
bất hạnh,adjective
bất hảo,adjective
bất hòa,noun
bất hợp lý,other
bất hợp pháp,other
bất hủ,"adjective,noun"
bất khuất,adjective
bất lợi,other
bất lực,adjective
bất lương,adjective
bất ngờ,adjective
bất nhân,adjective
bất tiện,adjective
bất tỉnh,other
bất trắc,adjective
bất tường,other
bật,verb
bật lửa,noun
bâu,noun
bầu,"noun,adjective"
bầu rượu,noun
bầu tâm sự,other
bầu trời,other
bấu,noun
bây,other
bây bẩy,other
bây giờ,other
bầy,"verb,noun"
bầy hầy,other
bẩy,other
bẫy,noun
bấy lâu,other
bậy,adjective
be,other
be be,other
bè,noun
bẻ,verb
bẻ vụn,verb
bẽ,adjective
bẽ bàng,adjective
bé,"adjective,noun"
bé tí,other
bẹ,other
bẻm,other
bèn,adjective
bẽn lẽn,other
bén,adjective
bén mảng,other
bén mùi,other
bẹn,other
beo,noun
bèo,noun
bèo bọt,noun
béo,adjective
béo bở,adjective
bép xép,noun
bẹp,adjective
bét,other
bét nhè,other
bê,other
bê tha,other
bê trễ,other
bề,other
bề bộn,adjective
bề cao,other
bề thế,adjective
bề trên,other
bể,noun
bể ái,other
bể bơi,noun
bể dâu,noun
bễ,other
bế,verb
bế mạc,other
bế tắc,noun
bệ,noun
bệ hạ,other
bệ rạc,"noun,adjective"
bệ vệ,other
bệch,adjective
bên,other
bên bị,other
bên nguyên,other
bền,adjective
bền chí,other
bền vững,other
bến đò,noun
bến tàu,noun
bến xe,noun
bện,"verb,adjective"
bênh,other
bênh vực,verb
bềnh bồng,noun
bếp,noun
bếp núc,noun
bết,other
bệt,adjective
bêu,noun
bêu xấu,adjective
bệu,adjective
bi,other
bi ai,other
bi ca,other
bi đát,"noun,adjective"
bi kịch,noun
bi quan,adjective
bi tráng,other
bì,other
bì bõm,noun
bỉ,other
bỉ mặt,other
bỉ vận,other
bí,"noun,adjective"
bí ẩn,"noun,adjective"
bí mật.,noun
bí quyết,noun
bí thư,other
bị,other
bị chú,other
bị động,other
bị lừa,other
bị thịt,other
bị thương,other
bia,noun
bia miệng,other
bìa,noun
bịa,verb
bích chương,other
bích ngọc,noun
bịch,noun
biếc,adjective
biếm,"verb,noun"
biếm họa,noun
biên,"verb,noun"
biên bản,noun
biên giới,noun
biên lai,noun
biên tập,"verb,noun"
biền biệt,adjective
biển,noun
biển lận,other
biển thủ,other
biến,"verb,noun"
biến chất,other
biến chứng,noun
biến cố,noun
biến động,"noun,verb"
biến thể,noun
biến thiên,"noun,verb"
biện bạch,"verb,noun"
biện chứng,other
biện hộ,"verb,noun"
biện minh,verb
biện pháp,noun
biếng,adjective
biếng nhác,adjective
biết,verb
biết ơn,other
