words,pos
的,other
了,other
在,other
和,other
是,verb
有,"verb,adjective"
个,other
上,"verb,adverb,other"
中,"noun,adverb"
为,"verb,other"
年,"noun,adverb"
这,other
他,pronoun
日,"noun,adverb"
对,other
也,other
要,"verb,adverb"
我,"noun, pronoun"
地,other
到,"verb,adverb"
说,verb
我们,pronoun
就,other
人,noun
不,"adverb,other"
等,other
工作,"noun,verb"
月,"noun,other"
将,"verb,other"
与,other
着,"verb,other"
他们,pronoun
以,other
人民,noun
都,"adverb, other"
发展,"verb,noun"
大,"adjective,noun"
把,other
后,"noun,adverb"
从,other
来,"verb,adverb"
还,"adverb,verb"
两,"noun,adjective"
元,"noun, adjective"
而,other
进行,verb
时,"noun,adverb"
生产,"verb,noun"
新,"adjective,noun"
中国,noun
下,"verb,adverb,other"
并,other
又,"adverb,other"
国家,noun
问题,noun
会,"verb,noun"
已,"adverb,other"
建设,"verb,noun"
好,"adjective,verb"
向,"verb,preposition"
被,other
企业,noun
经济,"noun,adjective"
但,other
出,"verb,other"
自己,pronoun
群众,noun
使,"verb, noun"
市,noun
没有,"verb,adverb"
革命,"noun,verb"
里,"noun,adverb"
做,verb
用,"verb,noun"
领导,"noun,verb"
政府,noun
名,"noun,adjective"
她,noun
这个,other
给,"verb,other"
由,other
省,"noun,verb"
得,"verb,adverb"
所,other
各,other
美国,noun
前,"noun, adjective, adverb"
次,"noun,adverb"
该,"adjective, pronoun"
于,other
今年,"noun,adverb"
去,"verb,adverb"
本,"noun, adjective, other"
党,noun
之,other
组织,"noun,verb"
据,"verb,noun"
提高,verb
家,"noun,other"
干部,noun
可以,"verb,adverb"
市场,noun
能,"verb,adjective"
学习,"verb,noun"
公司,noun
同志,"noun,other"
记者,noun
种,"noun,verb"
天,"noun, adjective"
教育,"noun,verb"
思想,"noun,verb"
管理,"verb,noun"
社会主义,noun
活动,"noun,verb"
全国,noun
会议,noun
可,"adjective,other"
要求,"noun,verb"
社会,noun
技术,noun
你,pronoun
毛主席,noun
作,"verb,noun"
情况,noun
及,other
位,"noun,verb"
内,"adjective,noun,other"
这些,other
它,other
参加,verb
起,"verb,noun"
比,"verb,preposition"
过,"verb,adverb"
部门,noun
目前,"noun,adverb"
或,other
很,adverb
其,other
已经,adverb
通过,"verb,preposition"
就是,other
更,"adverb,verb"
这样,"adverb,other"
同时,"adverb,other"
电,"noun,verb"
小,"adjective,noun"
生活,"noun,verb"
现在,"adverb,noun"
加强,verb
我国,noun
重要,adjective
方面,noun
斗争,"verb,noun"
世界,noun
代表,"noun,verb"
同,other
看,"verb,noun"
去年,noun
新华社,noun
时间,noun
有关,"adjective,verb"
为了,other
最,"adverb, adjective"
本报讯,other
由于,other
服务,"noun,verb"
必须,"adverb,verb"
人员,noun
国际,"noun,adjective"
这种,other
认为,verb
厂,noun
解决,verb
开始,"verb,noun"
至,other
让,"verb,other"
单位,noun
——,other
北京,noun
主要,"adjective, noun"
需要,"verb,noun"
计划,"noun,verb"
提出,verb
完成,"verb,noun"
高,"adjective, noun"
表示,"verb,noun"
农民,noun
分,"verb,noun"
产品,noun
政治,noun
那,other
政策,noun
农业,noun
积极,"adjective, noun"
成为,verb
工人,noun
不能,"verb,adverb"
任务,noun
却,"adverb,other"
再,"adverb,verb"
文化,noun
开展,verb
继续,verb
区,noun
只,other
当,"verb,adverb,other"
举行,verb
起来,"verb,adverb"
精神,"noun,adjective"
增加,verb
几,other
如,other
职工,noun
