words,pos
अगुवाइओं,noun
मनबसी,noun
प्रकटीकरणों,noun
कुलाँचेगी,verb
लरजना,verb
रेसकोर्स,noun
घोचिल,other
टूटनों,noun
विश्वरूपता,noun
फूटकर,verb
लपटने,verb
लिजलिजापन,noun
परिशिष्टता,noun
बाबूलाल,other
वसति,verb
एबलमौस्कस,other
मुनसरिमों,other
बृहतर,adjective
अधिकाराभिषेक,noun
उकसौंहें,other
कुनक,other
ख़र्चेंगीं,verb
दररवाता,noun
मरखैना,verb
चिढ़,verb
डायिन,other
छीपने,verb
रेक्जाविक,other
उपराहते,verb
रखवाती,"noun,verb"
प्रज्ञाएँ,noun
चीरने-फाड़ने,verb
झुखवाइएगी,other
उपवेद,noun
उगाने,verb
लांगलीश,other
ठाढ़ा,adjective
परिप्लवन,noun
पदक्रम-सूचिओं,noun
मृदीय,other
बिफरियो,verb
असमझौतावादी,noun
बिछड़ता,verb
घुँटेगी,verb
उच्छुल्क,other
कलामे,other
आदेशत,other
वक़त,noun
क्षोद,noun
शरापी,other
स्थापतीं,noun
एकाग्रता,noun
चंद्रमौली,other
बोतलों,noun
दुरबार,noun
वर्ग-मूल,noun
क्षमताओं,noun
रोकवाकर,verb
औटाइयो,other
अचवें,other
मिलनहार,noun
धीजने,other
यूनीलीवर,other
न्यूट्रीऐंट,noun
रिप,"noun,verb"
झोंकने_वाला,"verb,noun"
मूकता,noun
भौँराए,verb
ख़टकूँगा,verb
तिहाउ,other
सोमपत्र,noun
विश्री,other
लताभवन,noun
पंजाबवासी,noun
इन्फो,other
उकबत,noun
निदानालय,noun
समीपी,adjective
धुवाँरा,noun
शून्यक,noun
बाज़ारु,other
अतारांकित,adjective
मननाश,noun
सरज़मीन,noun
जोतवाना,verb
दोफुटों,noun
तैराएगा,verb
ऐ्शन,noun
बिछेंगे,verb
अंतर्द्वार,noun
गंभीरत,noun
कुंभशाला,noun
ढर्रा,noun
मकड़ीती,other
अलक्ष्मी,other
असितग्रीव,other
पौँढ़ाइएगा,other
जरासुत,adjective
पीताश्म,noun
नेत्रपट्टी,noun
हड़बड़ियाने,verb
उचटना,verb
उत्स्त्रोत,noun
छिलावे,verb
फरियादों,noun
पूर्वांचलों,noun
रैवत,other
प्रभे,noun
अन्वक्षता,noun
फँफाई,noun
झँझोरिएगी,verb
इंटरप्रिटेशन,noun
चेपें,other
अंगमर्दी,noun
यकता,noun
कल्पनी,"noun,adjective"
अनुगतत,other
कुड़कुड़ाओ,verb
चथाशक्य,other
महानता,noun
उगहे,other
सिरजाती,verb
अधकच्चा,adjective
पंचकूला,other
पलटेगी,verb
झपकोगी,verb
बकोटने,other
नज़ाक़त,noun
उछलाता,verb
ढाँसूँगी,verb
फ़रीदपुर,other
उभराना,verb
शर्मिन्दगी,noun
पूर्तोद्देश्य,noun
नूद,other
ईर्षाहीनतः,adjective
नपेंगीं,other
कुट,noun
