words,pos
現像,noun
原則,noun
見地,noun
現地,noun
限定,noun
原点,noun
原典,noun
原爆,noun
原文,noun
厳密,adjective
賢明,adjective
倹約,noun
原油,noun
兼用,"noun,adjective"
権力,noun
言論,noun
故～,other
語彙,noun
恋する,verb
甲,noun
～光,other
好意,noun
行為,noun
合意,noun
工学,noun
抗議,noun
合議,noun
皇居,noun
好況,noun
鉱業,noun
興業,noun
高原,noun
交互,"noun,adverb"
煌々と,adverb
考古学,noun
工作,noun
耕作,"noun,verb"
鉱山,noun
講習,noun
口述,noun
控除,noun
交渉,noun
高尚,adjective
向上,"noun,adverb"
行進,"noun,verb"
香辛料,noun
降水,noun
洪水,noun
合成,noun
公然,adverb
抗争,noun
構想,noun
後退,"noun,verb"
光沢,noun
公団,noun
好調,"noun,adjective"
口頭,noun
講読,noun
購読,noun
購入,"noun,verb"
公認,"noun,adjective"
光熱費,noun
購買,"noun,verb"
好評,"noun,adjective"
交付,"noun,verb"
公募,noun
巧妙,adjective
公用,noun
小売,noun
効率,noun
公立,"noun,adjective"
護衛,noun
コーナー,noun
小柄,adjective
小切手,noun
国産,"noun,adjective"
国定,noun
告白,noun
国防,noun
国有,noun
極楽,noun
国連,other
焦げ茶,"noun,adjective"
語源,noun
心地,noun
心得,noun
心掛け,"noun,verb"
心掛ける,verb
志,noun
志す,verb
心強い,adjective
心細い,adjective
試み,"noun,verb"
試みる,verb
快い,adjective
誤差,noun
ございます,other
孤児,noun
こじれる,verb
こす,verb
梢,noun
個性,noun
戸籍,noun
古代,noun
こたつ,noun
こだわる,verb
誇張,"noun,adjective"
こつ,noun
滑稽,"noun,adjective"
国交,noun
骨董品,noun
固定,"noun,adjective"
事柄,noun
孤独,"noun,adjective"
ことごとく,adverb
言付け,noun
殊に,other
粉々,adjective
好ましい,adjective
碁盤,noun
個別,"adjective,noun"
ごまかす,verb
細やか,adjective
コマーシャル,noun
込める,verb
コメント,noun
籠もる,verb
固有,other
暦,noun
凝らす,verb
ごらんなさる,verb
孤立,noun
懲りる,verb
凝る,verb
根気,noun
根拠,noun
混血,noun
コンタクトレンズ,noun
昆虫,noun
根底,noun
混同,"noun,verb"
コントラスト,noun
コントロール,noun
コンパス,noun
根本,noun
財,noun
再会,noun
災害,noun
細菌,noun
細工,noun
採掘,"noun,verb"
サイクル,noun
採決,noun
再建,noun
再現,noun
財源,noun
在庫,noun
採算,noun
サイズ,noun
再生,"noun,verb"
財政,noun
最善,"noun,adjective"
採択,"noun,verb"
栽培,"noun,verb"
再発,noun
細胞,noun
採用,noun
遮る,verb
さえずる,verb
冴える,verb
竿,noun
栄える,verb
差額,noun
杯,noun
逆立ち,noun
さきに,adverb
詐欺,noun
削減,noun
錯誤,noun
作戦,noun
叫び,verb
捧げる,verb
差し掛かる,verb
指図,noun
差し出す,verb
差し支える,verb
授ける,verb
摩する,verb
さぞ,adverb
定まる,verb
定める,verb
座談会,noun
雑,adjective
雑貨,noun
殺人,noun
察する,verb
雑談,noun
さっと,adverb
さっぱりする,verb
悟る,verb
最中,noun
座標,noun
さほど,adverb
サボる,verb
様,other
寒気,noun
侍,noun
さも,adverb
作用,noun
さらう,verb
障る,verb
酸,noun
山岳,noun
参議院,noun
産休,noun
サンキュー,other
残金,noun
産後,noun
残酷,adjective
産出,verb
参照,noun
参上,verb
残高,noun
サンタクロース,other
桟橋,noun
賛美,"noun,verb"
山腹,noun
産婦人科,noun
産物,noun
山脈,noun
仕上がり,noun
仕上,noun
仕上げる,verb
飼育,"noun,verb"
強いて,adverb
シート,noun
ジーパン,noun
仕入れる,verb
強いる,verb
潮,noun
