words,pos
spørsmålstegn,noun
sarkoplasma,noun
måtesadverb,noun
overtyde,verb
skåpopning,noun
abonnementsregister,noun
utørket,adjective
arbeidsevne,noun
austerlending,noun
blyregn,noun
historisk,adjective
gjennomføringsfase,noun
bakol,other
gående,"adjective,verb"
julestress,noun
tenår,other
angrepsrekke,noun
framandelement,noun
lånemulighet,noun
rabattsalg,noun
kremle,noun
cannabis,noun
bioteknologi,noun
xerografisk,adjective
smalekjøtt,noun
tvilrådug,other
brurepynt,noun
stikkar,noun
uimotståelighet,noun
grasbrikett,noun
tankerad,verb
bergflyndre,noun
englebarn,noun
utforme,verb
kuøye,other
kjempelang,adjective
årsgammal,adjective
knesetting,noun
midsundværing,noun
forsikringshold,noun
mottrussel,noun
snøvlet,verb
urdutalende,other
konsumtilpasning,noun
stråleovn,noun
løksuppe,noun
dobbeltfinnet,adjective
søreuropeer,noun
reinseri,verb
kontaktlærer,noun
glassmenasjeri,noun
symmetriplan,noun
skisseprosjekt,noun
solkome,other
kvi,other
kalmuslog,noun
oversending,noun
navnespørsmål,noun
svineheldig,adjective
trotskisme,noun
ålmennskule,noun
spot,noun
improvisasjonsevne,noun
dataovervåkning,noun
krigsforlis,noun
selvmorderisk,other
malersaker,noun
halsbyll,noun
dottermann,noun
sportsinteressert,adjective
likningssystem,noun
søvngjengar,noun
bekvemmelighetsregister,noun
hjortehornsalt,noun
kryptere,"verb,noun"
rimtusse,noun
vass-skadd,adjective
statusrapport,noun
bioprotein,noun
mørkeredd,adjective
fraudig,adjective
uomstøtelighet,noun
folkekonge,noun
importfaktoring,noun
skottarm,other
brolegge,verb
hemnhug,other
spiralmadrass,noun
vasomotorisk,adjective
fangline,noun
stimrens,other
utar,verb
husmorbok,noun
frontsoldat,noun
selvbuden,adjective
racerbil,noun
etterfylling,noun
renteforpliktelse,noun
naudbremse,noun
komitéarbeid,noun
bondehandler,noun
vergeråd,noun
eldhug,noun
katastrofe,noun
avskipingsanlegg,noun
fordampingsvarme,noun
bantamar,other
apanasje,noun
rødblyant,noun
ulle,other
velskband,other
fullkommenskap,noun
ekspropriasjon,noun
totenschläger,other
årtusen,noun
makeskifting,noun
utdanningsstøtte,noun
leksefri,verb
forgløymmegei,other
luftveislidelse,noun
rabattilbud,noun
reinskinn,noun
moderniseringsprogram,noun
påtakelighet,noun
nyhetsbombe,noun
herkulesarbeid,noun
spesialisttilbud,noun
eittbarnspolitikk,noun
pileallé,other
botnfast,noun
augetenar,other
jukselapp,noun
uvyrdsleg,other
høgaktuell,adjective
hovedpost,noun
yppersteprest,noun
blomsterbinding,noun
avløysartilskot,noun
vørnadsløs,adjective
