words,pos
está,other
com,other
se,other
do,other
por,other
ele,other
os,other
bem,adverb
em,other
mas,other
isso,other
da,other
como,other
sim,other
as,other
no,other
mais,other
na,other
meu,other
aqui,other
me,other
muito,"adverb, adjective"
ela,other
foi,other
estou,verb
isto,other
fazer,verb
vamos,other
já,other
vai,other
ser,verb
minha,other
só,adverb
te,other
à,other
tu,other
ao,other
tem,other
tudo,other
tenho,verb
vou,other
porque,other
há,other
sei,verb
estás,other
agora,adverb
quando,other
você,other
lá,other
então,other
ter,verb
onde,other
quem,other
nada,"verb,adverb"
era,verb
coisa,noun
ou,other
dizer,verb
quero,verb
são,other
sou,verb
seu,other
estava,verb
pode,other
mesmo,"adjective,adverb"
esta,other
sua,other
nós,other
eles,other
todos,other
bom,adjective
mim,other
dos,other
posso,verb
este,other
nos,other
ver,verb
casa,noun
tens,other
tua,other
temos,verb
nunca,adverb
teu,other
até,other
estão,verb
assim,other
acho,verb
falar,verb
ainda,adverb
disse,other
tempo,noun
ir,verb
pai,noun
também,other
vez,noun
quê,other
sobre,other
és,other
quer,verb
favor,"noun,verb"
melhor,"adjective,adverb"
tão,other
depois,adverb
obrigado,adjective
noite,noun
mãe,noun
talvez,other
sabes,verb
ti,other
olá,other
deus,noun
sempre,adverb
alguma,other
alguém,other
dia,noun
certo,"adjective,other"
estamos,other
nem,other
vida,noun
vais,other
anos,noun
sem,other
dele,other
das,other
queres,verb
homem,noun
tinha,other
estar,verb
coisas,noun
ficar,verb
sabe,verb
pelo,other
boa,"adjective,noun"
algo,other
pessoas,noun
parece,verb
claro,"adjective,adverb"
verdade,noun
dois,other
senhor,noun
preciso,verb
antes,other
tipo,noun
podes,other
apenas,adverb
lhe,other
faz,verb
vocês,other
ninguém,other
trabalho,noun
espera,"noun,verb"
outra,adjective
comigo,other
aí,other
dinheiro,noun
saber,"verb,noun"
pouco,"adjective,adverb"
vão,"adjective,verb"
esse,other
essa,other
grande,adjective
pois,other
podemos,verb
qualquer,"adjective,other"
pela,other
oh,other
disso,other
num,other
qual,other
desculpa,"noun,verb"
mulher,noun
hoje,adverb
fora,other
olha,verb
deve,verb
toda,"adjective,other"
filho,noun
dela,other
vá,other
meus,other
daqui,other
cá,other
seja,other
queria,verb
nosso,other
certeza,noun
nome,noun
sério,adjective
nossa,other
outro,"adjective,other"
todo,"adjective,other"
diz,verb
dar,verb
sair,verb
às,other
quanto,other
volta,"noun,verb"
tentar,verb
mal,adverb
pensar,verb
têm,other
amigo,noun
aconteceu,verb
contigo,other
consigo,verb
embora,other
menos,adverb
mundo,noun
carro,noun
merda,noun
passa,"noun,verb"
porquê,other
três,other
problema,noun
numa,other
seus,other
lado,noun
vezes,noun
novo,adjective
nas,other
fez,verb
lugar,noun
parte,noun
todas,adjective
vem,other
será,verb
algum,other
dentro,other
primeiro,"adjective,adverb"
aos,other
pensei,verb
voltar,verb
achas,verb
obrigada,adjective
ali,other
ok,other
aquele,other
querida,adjective
anda,"verb,noun"
razão,noun
família,noun
dias,noun
duas,adjective
fui,verb
hora,noun
sabia,verb
ideia,noun
polícia,noun
si,other
atrás,adverb
amor,noun
homens,noun
gosto,"verb,noun"
podem,other
entre,other
caso,noun
cabeça,noun
aquilo,other
uns,other
devia,other
fica,verb
desde,other
podia,verb
tarde,"noun,adjective"
tal,other
somos,verb
pessoa,noun
forma,noun
cidade,noun
tenha,verb
horas,noun
momento,noun
nenhum,adjective
encontrar,verb
frente,noun
amigos,noun
ajudar,verb
deixar,verb
fiz,verb
passar,verb
deles,other
vi,other
gente,noun
pronto,adjective
ia,other
foram,verb
sido,other
amanhã,other
desculpe,verb
entrar,verb
maneira,noun
chegar,verb
durante,other
outros,"adjective,noun"
cima,other
seria,verb
tanto,other
fosse,other
quase,adverb
irmão,noun
nova,adjective
óptimo,adjective
trabalhar,verb
morto,"adjective,noun"
morrer,verb
suas,other
história,noun
porta,noun
precisa,verb
aquela,other
alguns,adjective
contra,other
minhas,other
enquanto,other
sinto,verb
caminho,noun
morte,noun
ajuda,"noun,verb"
medo,noun
rapaz,noun
matar,verb
feliz,adjective
minutos,noun
vir,verb
desta,other
primeira,adjective
ei,other
ouvir,verb
cada,other
estes,other
neste,other
tive,other
sorte,"noun,adjective"
espero,verb
teus,other
acontecer,verb
arma,noun
cara,noun
conta,noun
estas,other
ano,noun
precisamos,verb
acha,verb
olhos,noun
feito,"adjective,verb"
levar,verb
quarto,noun
filha,noun
causa,noun
pessoal,"adjective,noun"
senhora,noun
for,other
adeus,other
lamento,"noun,verb"
algumas,adjective
disto,other
mãos,noun
cuidado,"noun,adjective"
sangue,noun
juntos,"adverb, adjective"
manhã,noun
única,adjective
última,adjective
água,noun
poder,"verb,noun"
faço,verb
difícil,adjective
perto,"adverb, adjective"
começar,verb
importante,adjective
mesma,adjective
semana,noun
pára,other
significa,verb
nossos,other
acredito,verb
usar,verb
acabou,verb
problemas,noun
realmente,adverb
corpo,noun
jogo,"noun,verb"
querem,verb
procura,"verb,noun"
disseste,verb
nisso,other
fala,"noun,verb"
fizeste,verb
ouve,verb
terra,noun
umas,other
querido,"adjective,noun"
cinco,other
dólares,noun
ontem,adverb
dá,verb
chefe,noun
dormir,verb
logo,other
calma,"adjective,noun"
guerra,noun
rapariga,noun
coração,noun
comer,verb
sabemos,verb
altura,noun
deste,other
havia,other
rápido,adjective
escola,noun
mão,noun
viver,verb
fim,noun
parar,verb
baixo,adjective
marido,noun
mau,adjective
agente,noun
sabem,verb
nenhuma,adjective
meio,"noun,adverb"
segundo,"adjective, noun, other"
teve,verb
vê,verb
maior,adjective
estado,noun
andar,verb
ouvi,verb
meses,noun
segurança,noun
eram,other
morreu,verb
número,noun
vejo,verb
muitas,adjective
equipa,noun
festa,noun
quatro,other
fazes,verb
mulheres,noun
rapazes,noun
acordo,"noun,verb"
poderia,verb
suficiente,adjective
sai,verb
crianças,noun
buscar,verb
capitão,noun
idiota,noun
raio,noun
pais,noun
precisas,"verb,adjective"
perder,verb
esperar,verb
chega,verb
nesta,other
viu,verb
contar,verb
acabar,verb
elas,other
devias,verb
estavas,verb
irmã,noun
filhos,noun
faça,verb
tuas,other
longe,adverb
foste,verb
olhar,"verb,noun"
pena,noun
ah,other
força,noun
muitos,adjective
possível,adjective
velho,adjective
mil,noun
estavam,verb
vossa,other
penso,"verb,noun"
importa,verb
brincar,verb
tivesse,other
prazer,noun
teria,other
tomar,verb
estranho,adjective
muita,adjective
fácil,adjective
pedir,verb
exactamente,adverb
veio,verb
devo,verb
depressa,adverb
pequeno,adjective
presidente,noun
passado,"adjective,noun"
bebé,noun
jantar,"verb,noun"
conseguir,verb
além,other
plano,noun
jack,other
tirar,verb
pergunta,noun
telefone,noun
deixa,verb
trás,other
espere,verb
pensa,verb
vivo,"adjective,verb"
john,other
culpa,noun
possa,verb
descobrir,verb
menina,noun
errado,adjective
diga,verb
casamento,noun
sala,noun
cama,noun
falta,"noun,verb"
paz,noun
sentir,verb
sozinho,adjective
gosta,verb
nossas,other
passou,verb
outras,adjective
conheço,verb
demais,adverb
provavelmente,adverb
correr,verb
mudar,verb
seis,other
palavra,noun
gostava,verb
vos,other
bastante,"adverb, adjective"
licença,noun
comida,noun
deu,verb
ficou,verb
pelos,other
matou,verb
sequer,other
pagar,verb
essas,other
acreditar,verb
consegues,verb
próprio,adjective
digo,verb
armas,noun
único,adjective
continua,"verb,adjective"
médico,noun
semanas,noun
diferente,adjective
dizem,verb
fazem,verb
gostaria,verb
fico,verb
seguir,verb
pior,"adjective,verb"
demasiado,adverb
consegue,verb
viste,verb
forte,"adjective,noun"
partir,verb
próxima,adjective
rei,noun
esses,other
minuto,noun
sam,other
raios,noun
resto,noun
livro,noun
esteja,other
local,"noun,adjective"
vosso,other
ar,other
venha,other
chegou,verb
hospital,noun
especial,adjective
estive,verb
prisão,noun
porra,other
atenção,noun
oportunidade,noun
café,noun
continuar,verb
olhe,other
luz,noun
país,noun
direito,"adjective,noun"
aqueles,other
visto,"verb,noun"
quis,verb
toma,"verb,noun"
ligar,verb
sentido,noun
criança,noun
irá,other
vim,verb
filme,noun
haver,verb
fogo,noun
rua,noun
sexo,noun
querer,verb
existe,verb
pequena,adjective
beber,verb
pé,noun
sítio,noun
esteve,verb
precisar,verb
boca,noun
miúda,noun
encontrei,verb
queremos,verb
portanto,other
connosco,other
tratar,verb
vês,verb
música,noun
pôr,verb
preocupes,other
ponto,noun
ganhar,verb
assassino,noun
arranjar,verb
último,adjective
manter,verb
tinhas,other
á,other
houve,verb
jovem,"adjective,noun"
esposa,noun
milhões,noun
miúdo,noun
jogar,verb
cedo,adverb
cão,noun
boas,"adjective,noun"
comprar,verb
acontece,verb
fazemos,verb
quiseres,other
seguro,"adjective,noun"
linda,adjective
capaz,adjective
apanhar,verb
encontro,verb
michael,other
deves,verb
quiser,other
devem,other
amiga,noun
natal,"noun,adjective"
estávamos,verb
sob,other
situação,noun
negócio,noun
nisto,other
próximo,adjective
certa,adjective
sinal,noun
perguntas,noun
banho,noun
sistema,noun
fique,verb
crime,noun
dez,other
grandes,adjective
própria,adjective
facto,noun
cabelo,noun
questão,noun
chamar,verb
acabei,verb
finalmente,adverb
entra,verb
mensagem,noun
novamente,adverb
perguntar,verb
adoro,verb
relação,noun
gostas,verb
livre,adjective
chamada,"noun,adjective"
lhes,other
ambos,other
começou,verb
bonito,adjective
notícias,noun
ai,other
viagem,noun
vontade,noun
futuro,"noun,adjective"
fugir,verb
palavras,noun
interessa,verb
escritório,noun
deixou,verb
entendo,verb
alto,adjective
salvar,verb
chão,noun
procurar,verb
grupo,noun
bonita,adjective
lista,noun
conversa,noun
consegui,verb
vista,"noun,verb"
deveria,verb
sozinha,adjective
tipos,noun
respeito,"noun,verb"
perfeito,adjective
nao,other
peço,verb
lutar,verb
tio,noun
mortos,noun
bocado,noun
final,"adjective,noun"
faças,verb
completamente,adverb
pelas,other
mesa,noun
tom,noun
estiver,other
chama,"verb,noun"
devemos,verb
dito,"adjective,other"
doutor,noun
puta,noun
dizes,verb
jesus,other
emprego,noun
charlie,other
fixe,adjective
pra,other
simples,adjective
devíamos,verb
frank,other
normal,adjective
linha,noun
vale,noun
preso,"adjective, verb"
faria,verb
iria,other
doente,"adjective,noun"
pensas,"verb,noun"
melhores,adjective
papá,other
modo,noun
assunto,noun
pensava,verb
breve,"adjective,adverb"
acidente,noun
viva,other
ordem,noun
fiquei,verb
campo,noun
real,"adjective,noun"
graças,noun
achei,verb
ataque,"noun,verb"
fundo,noun
tinham,other
morta,adjective
pare,"verb,noun"
leva,verb
verdadeiro,adjective
escolha,"noun,verb"
avião,noun
terá,other
vindo,verb
lindo,adjective
mike,other
má,adjective
acredita,verb
idade,noun
peter,other
amo,verb
conhece,verb
resposta,noun
näo,other
louco,adjective
barco,noun
estivesse,verb
the,other
serviço,noun
senhores,noun
erro,noun
estúpido,adjective
simplesmente,adverb
nele,other
saiu,verb
provas,noun
sol,noun
joe,other
bons,adjective
ler,verb
caixa,noun
fizeram,verb
percebo,verb
conhecer,verb
hotel,noun
advogado,noun
dessa,other
fantástico,adjective
abrir,verb
veja,"verb,noun"
gostar,verb
fazia,verb
vítima,noun
mente,"noun,adverb"
missão,noun
david,other
dor,noun
deixe,verb
presente,"noun,adjective"
miúdos,noun
fome,noun
informação,noun
professor,noun
espaço,noun
mamã,noun
carta,noun
roupa,noun
banco,noun
casar,verb
após,other
trouxe,verb
loja,noun
general,"adjective,noun"
fomos,verb
incrível,adjective
luta,noun
mostrar,verb
digas,verb
perceber,verb
s,other
volto,verb
nessa,other
olho,noun
george,other
programa,noun
prova,noun
podias,other
trazer,verb
sete,other
tempos,noun
hipótese,noun
diabo,noun
bebida,noun
acerca,other
chamado,"verb,adjective"
voz,noun
quantos,other
tiro,"noun,verb"
tenhas,other
tradução,noun
mês,noun
desse,other
creio,verb
sonho,noun
nesse,other
naquela,other
eras,"verb,noun"
câmara,noun
governo,noun
conseguiu,verb
aposto,noun
através,other
tenente,noun
exército,noun
namorada,noun
conversar,verb
percebi,verb
teres,other
bar,noun
segunda,"adjective,noun"
engraçado,adjective
energia,noun
soube,verb
sabias,verb
tocar,verb
telemóvel,noun
papel,noun
esperem,verb
lei,noun
excelente,adjective
tentei,verb
reunião,noun
disseram,verb
gajo,noun
passada,"adjective,noun"
chave,noun
conseguimos,verb
parabéns,other
cena,noun
companhia,noun
bela,adjective
costas,noun
fazendo,verb
centro,noun
voltou,verb
ouviste,verb
metade,noun
negócios,noun
olhem,verb
daí,other
apartamento,noun
tivemos,verb
proteger,verb
fbi,other
povo,noun
juro,verb
segredo,noun
cair,verb
impossível,adjective
detective,noun
nave,noun
escuta,verb
segundos,noun
mentir,verb
guarda,"noun,verb"
interessante,adjective
céu,noun
inferno,noun
precisam,verb
surpresa,noun
fizemos,verb
lembro,verb
cabo,noun
base,"noun,adjective"
quente,adjective
escrever,verb
desapareceu,verb
ouro,noun
resolver,verb
funciona,verb
ora,other
levou,verb
cheio,adjective
imediatamente,adverb
coronel,noun
senhoras,noun
ordens,noun
trabalha,verb
piada,noun
saia,noun
saída,noun
receber,verb
estrada,noun
controlo,"noun,verb"
ouça,verb
sejas,other
bolas,noun
posição,noun
comandante,noun
alma,noun
namorado,noun
começa,verb
divertido,adjective
falei,verb
passo,"noun,verb"
tenham,other
tínhamos,other
motivo,noun
pés,noun
contacto,noun
esquece,verb
decisão,noun
cerca,noun
empresa,noun
norte,noun
oito,other
debaixo,other
explicar,verb
horrível,adjective
vidas,noun
prometo,verb
encontrou,verb
vestido,noun
velha,adjective
parecia,verb
contente,adjective
querias,verb
esquerda,"noun,adjective"
perdi,verb
aonde,other
delas,other
frio,"adjective,noun"
aprender,verb
perigo,noun
avó,noun
cavalo,noun
máquina,noun
abre,verb
padre,noun
destino,noun
diria,verb
tribunal,noun
pudesse,verb
aniversário,noun
droga,"noun,adjective"
falou,verb
conheces,verb
raparigas,noun
naquele,other
pronta,adjective
confiar,verb
direita,"adjective,noun"
tenta,verb
últimos,adjective
planeta,noun
parecer,verb
vêm,verb
tiver,other
paul,other
regras,noun
parem,verb
destes,other
abaixo,adverb
carne,noun
james,other
suposto,adjective
cerveja,noun
vejam,other
henry,other
vender,verb
venham,other
quantas,other
diferentes,adjective
compreendo,verb
precisava,verb
mestre,noun
maioria,noun
cérebro,noun
ben,other
liberdade,noun
lidar,verb
vossos,other
área,noun
funcionar,verb
belo,adjective
sul,noun
jimmy,other
drogas,noun
branco,adjective
honra,noun
mandar,verb
falo,"verb,noun"
vive,verb
esquecer,verb
homicídio,noun
bomba,noun
estará,verb
bola,noun
tanta,adjective
triste,adjective
sente,verb
acaso,noun
igreja,noun
humano,"adjective,noun"
quais,other
acaba,verb
estaria,other
desculpem,verb
diferença,noun
contrário,adjective
animais,noun
dançar,verb
pareces,verb
trata,"verb,noun"
danny,other
aquelas,adjective
espécie,noun
tentou,verb
pobre,adjective
suspeito,"adjective, noun"
clube,noun
alex,other
perigoso,adjective
diabos,noun
roubar,verb
esperança,noun
conheci,verb
teste,noun
irei,verb
max,other
tiveste,verb
hey,other
dê,other
saúde,noun
mar,other
podíamos,verb
bater,verb
inteligente,adjective
saiam,verb
estiveste,verb
ideias,noun
perdeu,verb
tira,"noun,verb"
entendido,"verb,adjective"
janela,noun
miss,other
rainha,noun
menino,noun
preocupe,verb
mary,other
experiência,noun
américa,other
entender,verb
cliente,noun
alvo,noun
acham,verb
aparecer,verb
realidade,noun
informações,noun
calhar,verb
nick,other
passei,verb
meia,noun
serão,verb
conselho,noun
sargento,noun
basta,"verb,adverb"
entrada,noun
propósito,noun
ouviu,verb
código,noun
prontos,adjective
dei,verb
avô,noun
ficas,verb
esconder,verb
público,"adjective,noun"
rio,noun
vós,other
odeio,verb
socorro,other
poderá,verb
totalmente,adverb
ias,other
colocar,verb
suponho,verb
afinal,other
sentes,"verb,noun"
risco,noun
põe,verb
aceitar,verb
jeito,noun
existem,verb
monte,noun
entrou,verb
xerife,noun
usa,"verb,noun"
tony,other
verificar,verb
sarah,other
provar,verb
destas,other
apesar,other
maldito,adjective
vossas,other
contas,noun
terrível,adjective
cartão,noun
zona,noun
preocupado,adjective
iorque,other
meninas,noun
loucura,noun
ligação,noun
acima,other
chorar,verb
investigação,noun
almoço,noun
pá,noun
nível,noun
estarei,verb
operação,noun
seguinte,adjective
ilha,noun
dúvida,noun
parecem,verb
percebes,noun
computador,noun
jim,other
sejam,other
foto,noun
exemplo,noun
pele,noun
irmãos,noun
humanos,noun
cozinha,noun
direcção,noun
longo,adjective
roupas,noun
justo,adjective
lixo,noun
segura,verb
planos,noun
pedido,noun
liga,"noun,verb"
preço,noun
deixei,verb
ray,other
oficial,"adjective,noun"
par,other
negro,"adjective,noun"
farei,verb
pernas,noun
tia,noun
maravilhoso,adjective
termos,noun
harry,other
televisão,noun
braço,noun
perdido,adjective
enorme,adjective
responsável,"adjective,noun"
desejo,"verb,noun"
vinho,noun
pediu,verb
laboratório,noun
conseguiste,verb
repente,adverb
ryan,other
metros,noun
necessário,adjective
bill,other
esperava,verb
criar,verb
sonhos,noun
comboio,noun
saco,noun
nela,other
lembrar,verb
livros,noun
foder,verb
ama,verb
relatório,noun
junto,other
principal,"adjective,noun"
comando,noun
fotos,noun
nomes,noun
chá,noun
fato,noun
saiba,verb
alta,adjective
fotografia,noun
subir,verb
mudou,verb
maluco,"adjective,noun"
peça,noun
dado,noun
verão,noun
traz,other
novos,adjective
senão,other
limpar,verb
defesa,noun
rádio,noun
cheia,"noun,verb"
bob,other
dados,noun
carros,noun
terminar,verb
cabra,noun
silêncio,noun
opinião,noun
leve,"adjective,verb"
pedi,verb
caralho,other
rabo,noun
discutir,verb
pista,noun
céus,noun
gelo,noun
dessas,other
ido,other
azul,adjective
duro,adjective
vens,other
dentes,noun
graça,noun
porcaria,noun
errada,adjective
imenso,adjective
acesso,noun
departamento,noun
tommy,other
acção,noun
jake,other
destruir,verb
paciente,noun
corre,verb
daquela,other
sapatos,noun
mala,noun
dizia,verb
agentes,noun
façam,verb
falamos,verb
espírito,noun
cartas,noun
senti,verb
ocupado,adjective
ótimo,adjective
escolher,verb
ficam,verb
costumava,verb
verdadeira,adjective
igual,adjective
saudades,noun
preparar,verb
sendo,other
pegar,verb
comum,adjective
vermelho,adjective
correu,verb
daquele,other
calças,noun
evitar,verb
seres,"verb,noun"
memória,noun
volte,verb
trato,"noun,verb"
novas,adjective
cheiro,noun
universidade,noun
falando,verb
inimigo,noun
noites,noun
pressão,noun
carrinha,noun
espectáculo,noun
buraco,noun
bala,noun
apareceu,verb
inglês,"adjective,noun"
devagar,adverb
copo,noun
paris,other
steve,other
início,noun
caramba,other
queira,verb
coragem,noun
mentira,noun
andas,verb
la,other
perna,noun
visita,noun
parque,noun
soldados,noun
conduzir,verb
inteiro,adjective
justiça,noun
cheguei,verb
férias,noun
ligou,verb
restaurante,noun
confiança,noun
vídeo,noun
cuidar,verb
branca,adjective
prestes,other
nove,adjective
billy,other
johnny,other
arte,noun
desculpas,noun
excepto,other
chaves,noun
série,noun
doce,"adjective,noun"
responder,verb
estrela,noun
certamente,adverb
daniel,other
várias,adjective
tornar,verb
viram,verb
lua,noun
caiu,verb
animal,noun
cantar,verb
herói,noun
toca,noun
fiquem,other
achar,verb
encontrado,verb
majestade,noun
parede,noun
pescoço,noun
emergência,noun
americano,"adjective,noun"
casaco,noun
infelizmente,adverb
deviam,verb
troca,"noun,verb"
quão,other
vergonha,noun
porreiro,adjective
limpo,"adjective, verb"
oi,other
processo,noun
fale,noun
parceiro,noun
começo,noun
gostei,verb
vieste,other
longa,adjective
teremos,verb
normalmente,adverb
aulas,noun
médicos,noun
hei,other
monstro,noun
magia,noun
som,noun
falas,"verb,noun"
faca,noun
terei,verb
conseguia,verb
serei,verb
cor,noun
estação,noun
desses,other
apoio,noun
imaginar,verb
tido,other
soldado,noun
nariz,noun
batalha,noun
matei,verb
chamas,"verb,noun"
edifício,noun
estranha,adjective
polícias,noun
especialmente,adverb
londres,other
brilhante,adjective
pedra,noun
óptima,adjective
prefiro,verb
miúdas,noun
árvore,noun
tamanho,noun
natureza,noun
will,other
andado,verb
vimos,verb
sucesso,noun
irão,verb
inocente,adjective
clientes,noun
grávida,adjective
encontraram,verb
puder,noun
simpático,adjective
juiz,noun
richard,other
voar,verb
velhos,"adjective,noun"
autocarro,noun
bobby,other
kate,other
brian,other
preto,"adjective,noun"
valor,noun
preparado,"adjective,verb"
correcto,adjective
serve,verb
flores,noun
jane,other
devido,"adjective,verb"
dança,noun
cortar,verb
faculdade,noun
enviar,verb
filmes,noun
fé,noun
cristo,other
vítimas,noun
peixe,noun
deixes,verb
salvo,"adjective,verb"
vieram,verb
disparar,verb
terem,other
haverá,verb
conhecido,"adjective,verb"
histórias,noun
queiras,other
walter,other
mark,other
sobreviver,verb
máximo,adjective
encontramos,verb
gostam,verb
pensam,verb
más,adjective
distância,noun
cães,noun
antigo,adjective
lugares,noun
recuperar,verb
cadeira,noun
possamos,other
fechar,verb
doença,noun
gozar,verb
desistir,verb
imagem,noun
tv,other
come,verb
perdão,noun
clark,other
director,other
uh,other
vás,other
demorar,verb
carreira,noun
cabrão,noun
acabado,"adjective,verb"
serem,other
barulho,noun
li,other
conhecemos,verb
visão,noun
acreditas,verb
louca,"noun,adjective"
gato,noun
conseguem,verb
pega,"verb,noun"
recebi,verb
deixado,"verb,adjective"
gritar,verb
praia,noun
policia,noun
voo,"noun,verb"
jovens,noun
felizes,adjective
milhares,noun
ficará,verb
scott,other
pontos,noun
estrelas,noun
entanto,other
fará,verb
meter,"verb,noun"
baixa,"adjective, noun"
maria,other
julgamento,noun
corrida,noun
braços,noun
casas,noun
malta,noun
língua,noun
km,other
relógio,noun
controlar,verb
atirar,verb
central,"adjective,noun"
robert,other
floresta,noun
líder,noun
descansar,verb
cansado,adjective
chris,other
eddie,other
unidade,noun
partido,noun
éramos,other
confusão,noun
esperto,adjective
atrasado,adjective
tivesses,other
forças,noun
números,noun
lisa,adjective
obviamente,adverb
navio,noun
rico,adjective
poderes,noun
tantas,adjective
velocidade,noun
notícia,noun
busca,"noun,verb"
respirar,verb
indo,other
sentimentos,noun
cavalos,noun
testemunha,noun
ouvido,noun
