words,pos
aguista,noun
trencillabamos,verb
vitara,other
inmutara,other
encorraladas,adjective
merodearamos,verb
formatriz,noun
entonarian,noun
ioniceis,other
cuerpeaseis,other
primare,other
desglosare,verb
avenad,other
rehare,other
pinsapos,noun
cuqueas,other
barineses,adjective
copado,adjective
desconvoques,verb
desatentaseis,other
rebitaria,other
afatamos,verb
pasteleras,noun
erigid,other
embrochado,adjective
mugiamos,verb
martir,noun
defeccionais,other
incurras,verb
tendeaseis,other
golosineaste,other
capisayo,other
generalizad,other
encoracharemos,verb
hilaba,verb
sabueso,noun
atibarais,other
discretea,other
papula,noun
desengranarias,noun
empapuzasteis,verb
embotijarais,other
supernumerarios,noun
franjando,other
meneadoras,noun
desinflamaban,verb
solicitaras,verb
haraganease,other
lambisconeareis,other
conturbaremos,verb
casanareño,adjective
holgazaneariais,other
agarrante,adjective
finte,other
pomeranos,other
dopamos,other
desengañilar,verb
sabatino,adjective
agamitaba,verb
proferiais,verb
calificariamos,verb
huleado,verb
imborrables,adjective
sojas,noun
distribuyes,verb
nacionalizan,verb
parteemos,other
pumpunearen,other
sorrostrada,other
engarbes,other
embicados,adjective
despozolen,other
avezariais,other
ijadear,other
trapisondeando,other
teleadicto,"noun,adjective"
ferropenico,noun
sustraia,verb
zunchaseis,other
fosforito,noun
pescueceaban,verb
encenderas,verb
responsabilizar,verb
anquiseca,other
carrerearamos,other
acopetada,adjective
desasnaras,other
mariposease,other
cronografa,noun
benefactora,noun
ahervoraban,verb
desapartaban,verb
malentendias,other
extasiamos,verb
afrancesais,other
pellizcado,"adjective, noun"
algaracear,verb
gritadores,noun
refrendabas,verb
desplazamientos,noun
gambada,other
pintarrajan,verb
malpariese,other
escabechases,noun
toxicogenesis,other
descogollasen,other
arrejacados,other
bastitanas,other
amortizando,verb
empentais,other
chivear,verb
buitreareis,other
escabullo,noun
evos,other
padrotearas,other
delinquido,other
resientas,verb
escagarruzabas,other
epasote,noun
transluciesen,verb
desengranaremos,verb
pegotee,other
cachondeen,other
cimbreñas,other
muble,other
pesuña,noun
sensibilizaren,other
replicabamos,verb
aumentariamos,verb
indiciosos,adjective
horripile,other
cundieramos,other
erguia,other
ojeador,other
desbarajustadas,adjective
impertir,verb
respetosamente,adverb
desbrozare,verb
diquelabas,verb
certificaban,verb
pertenecio,verb
encogieseis,verb
entrecomariamos,verb
retoñeciamos,verb
perore,other
posma,other
calcetaria,noun
amustiare,other
compasa,other
condicionares,"verb,noun"
refresca,"verb,noun"
atisbando,other
refregaduras,noun
desembridaria,other
