words,pos
abiria,noun
acha,verb
ada,noun
adhabu,noun
admire,other
adui,other
afisa,noun
afya,noun
agano,noun
agizo,noun
Agosti,other
ah,other
aha,other
ahadi,noun
aibu,other
aina,noun
ainisha,verb
ajabu,adjective
ajali,verb
ajenda,noun
ajira,noun
ajiri,verb
akaunti,noun
akili,noun
alama,noun
albamu,noun
alfa,other
alfajiri,noun
alhamisi,other
aliongeza,verb
aliyenusurika,verb
Almasi,other
am,other
ama,other
amana,noun
amani,noun
ambatisha,verb
ambaye,other
ambayo,other
amelala,verb
amini,verb
amri,noun
andika,verb
android,other
anga,other
angalau,other
angalia,verb
anwani,noun
anzisha,verb
aprili,other
ardhi,noun
arobaini,noun
asali,noun
asante,other
asidi,noun
asili,noun
asilimia,noun
asiyeonekana,verb
askari,noun
askofu,other
asubuhi,noun
athari,noun
au,other
awali,other
awamu,noun
aya,other
azima,noun
azimio,noun
baadae,other
baadaye,adverb
baadhi,other
baba,noun
babu,noun
badilika,verb
badilisha,verb
bado,other
bafuni,noun
Bahari,noun
baharini,other
bahasha,noun
bahati,noun
bainisha,verb
baiskeli,noun
bajeti,noun
bake,other
bakteria,noun
bakuli,noun
balaa,other
balozi,noun
bandari,noun
bandia,noun
bang,other
bangi,noun
bango,noun
bar,noun
bara,noun
barabara,noun
barafu,noun
baraka,noun
baraza,noun
baridi,adjective
bariki,verb
barua,noun
basi,other
bata,noun
bega,other
bei,other
bembea,verb
benchi,noun
bendera,noun
bendi,noun
benki,noun
Benki,other
besiboli,other
betri,other
bia,noun
biashara,noun
Biashara,noun
bibi,noun
biblia,noun
bidhaa,noun
bila,other
bilioni,noun
bima,noun
binadamu,noun
binafsi,other
binamu,noun
bingwa,noun
binti,noun
biolojia,noun
blade,other
blanketi,noun
blogu,noun
bluu,adjective
bodi,noun
bomba,noun
bomu,noun
bonde,noun
bonyeza,verb
boom,other
bora,adjective
boriti,other
bosi,noun
brashi,other
Bubble,other
bunduki,noun
bunge,noun
bure,adjective
burger,other
burudani,noun
buruta,noun
busara,noun
bustani,noun
busu,noun
busy,other
buti,noun
bwana,other
bwawa,noun
carrier,other
cd,other
chafu,adjective
chagua,verb
chaguo,noun
chaguo-msingi,noun
chai,noun
chajio,other
chakula,noun
chama,noun
chaneli,noun
changamano,noun
changamoto,noun
changamsha,verb
changanya,verb
changia,verb
chanjo,noun
chanya,adjective
chanzo,noun
chapa,noun
chapisho,noun
chati,noun
cheche,noun
Cheka,verb
cheki,noun
chelezo,noun
chembe,noun
chemchemi,noun
chemsha,verb
cheo,noun
cheti,noun
chini,other
chip,other
chochote,other
chokoleti,noun
cholesterol,other
choma,verb
chombo,noun
Chonga,other
choo,noun
chujio,other
chuki,noun
chuma,noun
chumba,noun
chumbani,noun
chumvi,noun
